datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,63.38,63.62,62.815,63.39,1822154.0,1623628800,0
2021-06-15,63.985,63.985,61.82,62.46,2262059.0,1623715200,0
2021-06-16,62.72,62.91,61.5173,61.89,1462895.0,1623801600,0
2021-06-17,62.1,63.645,61.89,62.86,2063311.0,1623888000,0
2021-06-18,62.65,63.5,62.32,62.61,3992744.0,1623974400,0
2021-06-21,62.67,63.3,62.04,63.17,2307449.0,1624233600,0
2021-06-22,63.31,64.46,63.03,64.02,1996818.0,1624320000,0
2021-06-23,64.235,64.57,63.65,64.47,2244095.0,1624406400,0
2021-06-24,64.98,65.41,64.77,65.0,2442856.0,1624492800,0
2021-06-25,64.95,66.4,64.61,65.89,6346310.0,1624579200,0
2021-06-28,65.8,67.82,65.75,67.47,3006856.0,1624838400,0
2021-06-29,67.91,69.64,67.5,68.85,4036989.0,1624924800,0
2021-06-30,68.735,68.85,66.26,66.72,2440897.0,1625011200,0
2021-07-01,67.61,68.18,66.7,67.99,1768319.0,1625097600,0
2021-07-02,67.85,68.1,67.2,67.71,1846663.0,1625184000,0
2021-07-06,69.22,69.31,68.24,69.02,2399947.0,1625529600,0
2021-07-07,68.97,70.05,68.88,69.64,1942274.0,1625616000,0
2021-07-08,68.9,70.03,68.82,69.85,1652544.0,1625702400,0
2021-07-09,69.78,70.145,68.85,69.31,1362775.0,1625788800,0
2021-07-12,69.3,69.665,68.79,69.18,1716906.0,1626048000,0
2021-07-13,68.9,69.26,68.34,68.65,1706739.0,1626134400,0
2021-07-14,68.66,68.85,67.14,67.56,1826304.0,1626220800,0
2021-07-15,67.3,68.43,67.1,68.37,1778969.0,1626307200,0
2021-07-16,68.69,71.54,68.44,69.54,3055217.0,1626393600,0
2021-07-19,68.89,70.5864,68.51,70.37,2869007.0,1626652800,0
2021-07-20,70.64,71.1996,69.975,70.17,1964302.0,1626739200,0
2021-07-21,70.13,70.25,69.03,70.0,2181395.0,1626825600,0
2021-07-22,70.25,72.19,70.12,71.77,1971626.0,1626912000,0
2021-07-23,71.81,72.36,71.57,72.3,2267979.0,1626998400,0
2021-07-26,71.645,72.48,71.46,71.53,2411769.0,1627257600,0
2021-07-27,71.62,72.21,71.13,72.19,1895428.0,1627344000,0
2021-07-28,72.27,72.74,71.97,72.08,2934015.0,1627430400,0
2021-07-29,73.0,76.4299,72.36,73.82,4359675.0,1627516800,0
2021-07-30,73.8,75.48,73.65,75.04,2676551.0,1627603200,0
2021-08-02,75.18,76.12,74.84,75.83,1776176.0,1627862400,0
2021-08-03,75.63,76.15,75.29,75.74,1680024.0,1627948800,0
2021-08-04,75.82,77.11,75.6,76.59,1623574.0,1628035200,0
2021-08-05,76.62,76.69,75.19,76.35,1285963.0,1628121600,0
2021-08-06,76.1,76.23,74.95,75.94,1261570.0,1628208000,0
2021-08-09,76.05,76.3,75.2593,75.84,1365430.0,1628467200,0
2021-08-10,76.02,77.6,75.48,76.7,2397929.0,1628553600,0
2021-08-11,76.88,76.909,76.33,76.64,1131505.0,1628640000,0
2021-08-12,76.75,77.46,76.64,76.81,1213558.0,1628726400,0
2021-08-13,76.73,76.95,76.4701,76.92,779389.0,1628812800,0
2021-08-16,76.95,77.0,76.36,76.8,1364869.0,1629072000,0
2021-08-17,76.77,77.5,76.51,77.23,1238778.0,1629158400,0
2021-08-18,76.9,77.2,76.24,76.28,1426939.0,1629244800,0
2021-08-19,75.9,77.11,75.62,76.56,1777786.0,1629331200,0
2021-08-20,76.665,77.24,76.315,77.09,1185972.0,1629417600,0
2021-08-23,77.52,77.74,76.805,77.47,1243445.0,1629676800,0
2021-08-24,77.4,77.73,76.98,77.14,1014038.0,1629763200,0
2021-08-25,77.15,77.7,76.69,77.6,1028720.0,1629849600,0
2021-08-26,77.75,78.46,77.2403,78.06,996360.0,1629936000,0
2021-08-27,77.94,79.405,77.62,79.19,1490684.0,1630022400,0
2021-08-30,79.47,80.5,79.35,79.64,1357896.0,1630281600,0
2021-08-31,79.61,80.4,78.8115,79.15,1939133.0,1630368000,0
2021-09-01,78.9,79.68,77.8903,79.51,1173731.0,1630454400,0
