code,name
MNST.US,Monster Beverage Corp
CSX.US,CSX Corporation
ADP.US,Automatic Data Processing Inc
ANSS.US,ANSYS Inc
FAST.US,Fastenal Company
INTC.US,Intel Corporation
CTAS.US,Cintas Corporation
CSGP.US,CoStar Group Inc
QCOM.US,Qualcomm Incorporated
SIRI.US,Sirius XM Holding Inc
AVGO.US,Broadcom Inc
DXCM.US,DexCom Inc
SNPS.US,Synopsys Inc
HON.US,Honeywell International Inc
CTSH.US,Cognizant Technology Solutions Corp Class A
TXN.US,Texas Instruments Incorporated
DLTR.US,Dollar Tree Inc
PANW.US,Palo Alto Networks Inc
AEP.US,American Electric Power Co Inc
AMAT.US,Applied Materials Inc
LULU.US,Lululemon Athletica Inc.
INTU.US,Intuit Inc
WDAY.US,Workday Inc
SBUX.US,Starbucks Corporation
ILMN.US,Illumina Inc
ODFL.US,Old Dominion Freight Line Inc
MRNA.US,Moderna Inc
ROST.US,Ross Stores Inc
CSCO.US,Cisco Systems Inc
BIIB.US,Biogen Inc
CDNS.US,Cadence Design Systems Inc
KLAC.US,KLA-Tencor Corporation
PCAR.US,PACCAR Inc
CDW.US,CDW Corp
COST.US,Costco Wholesale Corp
AAPL.US,Apple Inc
PAYX.US,Paychex Inc
GOOGL.US,Alphabet Inc Class A
NVDA.US,NVIDIA Corporation
TSLA.US,Tesla Inc
AMZN.US,Amazon.com Inc
ADSK.US,Autodesk Inc
MRVL.US,Marvell Technology Group Ltd
MDLZ.US,Mondelez International Inc
EA.US,Electronic Arts Inc
ADBE.US,Adobe Systems Incorporated
VRSK.US,Verisk Analytics Inc
MSFT.US,Microsoft Corporation
IDXX.US,IDEXX Laboratories Inc
NXPI.US,NXP Semiconductors NV
GOOG.US,Alphabet Inc Class C
ISRG.US,Intuitive Surgical Inc
CPRT.US,Copart Inc
LRCX.US,Lam Research Corp
ADI.US,Analog Devices Inc
META.US,Meta Platforms Inc.
AMGN.US,Amgen Inc
PEP.US,PepsiCo Inc
ORLY.US,O’Reilly Automotive Inc
CMCSA.US,Comcast Corp
NFLX.US,Netflix Inc
FANG.US,Diamondback Energy Inc
FTNT.US,Fortinet Inc
MAR.US,Marriott International Inc
VRTX.US,Vertex Pharmaceuticals Inc
CHTR.US,Charter Communications Inc
MU.US,Micron Technology Inc
XEL.US,Xcel Energy Inc
GILD.US,Gilead Sciences Inc
ROP.US,Roper Technologies Inc. Common Stock
AMD.US,Advanced Micro Devices Inc
TMUS.US,T-Mobile US Inc
REGN.US,Regeneron Pharmaceuticals Inc
TTWO.US,Take-Two Interactive Software Inc
MELI.US,MercadoLibre Inc.
MCHP.US,Microchip Technology Inc
PYPL.US,PayPal Holdings Inc
ASML.US,ASML Holding NV ADR
AZN.US,AstraZeneca PLC ADR
KHC.US,Kraft Heinz Co
WBA.US,Walgreens Boots Alliance Inc
ON.US,ON Semiconductor Corporation
TEAM.US,Atlassian Corp Plc
TTD.US,Trade Desk Inc
EXC.US,Exelon Corporation
MDB.US,MongoDB
BKNG.US,Booking Holdings Inc
ZS.US,Zscaler Inc
KDP.US,Keurig Dr Pepper Inc
PDD.US,Pinduoduo
LIN.US,Linde plc Ordinary Shares
CCEP.US,Coca-Cola European Partners PLC
BKR.US,Baker Hughes Co
CRWD.US,Crowdstrike Holdings Inc
DDOG.US,Datadog Inc
DASH.US,DoorDash Inc. Class A Common Stock
ABNB.US,Airbnb Inc
GFS.US,Globalfoundries Inc
CEG.US,Constellation Energy Corp
WBD.US,Warner Bros Discovery Inc
GEHC.US,GE HealthCare Technologies Inc.
