datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-07-12,91.22,91.9,89.65,90.81,28526561.0,1626048000,0
2021-07-13,90.48,91.41,89.8299,90.26,30367600.0,1626134400,0
2021-07-14,90.76,91.395,88.94,89.05,28108510.0,1626220800,0
2021-07-15,89.78,89.78,86.1801,86.93,38944738.0,1626307200,0
2021-07-16,87.32,88.03,85.68,85.89,35860738.0,1626393600,0
2021-07-19,84.99,87.2294,84.24,86.58,39244801.0,1626652800,0
2021-07-20,87.09,87.77,85.165,87.11,28088961.0,1626739200,0
2021-07-21,87.25,89.49,86.9,89.41,29469859.0,1626825600,0
2021-07-22,89.4,91.36,89.08,91.21,33730078.0,1626912000,0
2021-07-23,91.348,92.37,90.19,92.15,31708900.0,1626998400,0
2021-07-26,92.01,92.75,91.12,91.82,27668461.0,1627257600,0
2021-07-27,92.94,94.1,89.1,91.03,69427023.0,1627344000,0
2021-07-28,93.44,98.71,89.65,97.93,140560984.0,1627430400,0
2021-07-29,96.58,105.74,96.58,102.95,164091812.0,1627516800,0
2021-07-30,101.6,106.97,101.38,106.19,125632000.0,1627603200,0
2021-08-02,105.93,110.33,103.83,108.63,115581906.0,1627862400,0
2021-08-03,108.15,114.85,107.66,112.56,157723109.0,1627948800,0
2021-08-04,114.36,122.49,114.16,118.77,225368703.0,1628035200,0
2021-08-05,116.63,117.68,111.59,112.35,137860891.0,1628121600,0
2021-08-06,110.55,116.2599,109.7,110.11,143899016.0,1628208000,0
2021-08-09,111.31,112.33,107.06,107.58,115749906.0,1628467200,0
2021-08-10,107.895,109.17,104.36,106.48,113012305.0,1628553600,0
2021-08-11,107.6,109.79,105.62,107.68,91788289.0,1628640000,0
2021-08-12,107.39,108.44,105.86,106.5,60625727.0,1628726400,0
2021-08-13,107.17,111.71,106.57,110.55,100135695.0,1628812800,0
2021-08-16,110.2,111.58,105.865,107.48,73398945.0,1629072000,0
2021-08-17,106.644,108.7,105.35,107.56,74053914.0,1629158400,0
2021-08-18,107.35,108.07,103.27,103.44,79387938.0,1629244800,0
2021-08-19,103.315,106.18,101.975,103.7,71117484.0,1629331200,0
2021-08-20,104.32,105.98,103.99,104.65,55227559.0,1629417600,0
2021-08-23,105.295,109.02,104.86,108.77,68835281.0,1629676800,0
2021-08-24,109.45,109.61,107.28,107.65,51239301.0,1629763200,0
2021-08-25,108.13,109.91,107.45,108.3,45485500.0,1629849600,0
2021-08-26,108.57,109.2299,106.84,107.27,51442551.0,1629936000,0
2021-08-27,108.01,111.78,107.8,111.4,61030008.0,1630022400,0
2021-08-30,112.61,114.4899,111.26,111.32,56130473.0,1630281600,0
2021-08-31,111.26,111.26,109.0343,110.72,49338961.0,1630368000,0
2021-09-01,111.3,111.85,109.85,109.99,38579559.0,1630454400,0
2021-09-02,110.32,110.88,108.77,109.2,40108762.0,1630540800,0
2021-09-03,108.85,111.17,108.5,109.92,42623781.0,1630627200,0
2021-09-07,109.955,110.58,108.66,109.15,28815230.0,1630972800,0
2021-09-08,108.88,109.3,105.52,106.17,43067910.0,1631059200,0
2021-09-09,106.56,107.2953,105.84,106.15,31857869.0,1631145600,0
2021-09-10,106.99,106.9913,104.98,105.2,32602289.0,1631232000,0
2021-09-13,105.26,105.28,102.63,104.8,37767793.0,1631491200,0
2021-09-14,105.52,106.82,104.42,105.73,40629527.0,1631577600,0
2021-09-15,106.0,106.32,104.03,105.6,37998941.0,1631664000,0
2021-09-16,104.915,106.75,103.76,106.22,38150273.0,1631750400,0
2021-09-17,105.555,105.98,103.71,103.88,44528340.0,1631836800,0
2021-09-20,101.58,102.51,99.51,101.55,45228406.0,1632096000,0
2021-09-21,102.15,103.4299,101.18,102.82,35481500.0,1632182400,0
2021-09-22,102.815,104.56,102.21,104.38,34126281.0,1632268800,0
2021-09-23,104.89,106.86,103.89,106.15,32816660.0,1632355200,0
2021-09-24,105.185,106.0499,104.68,105.8,26482609.0,1632441600,0
2021-09-27,105.065,108.44,103.44,108.16,51944352.0,1632700800,0
2021-09-28,106.835,107.65,101.42,101.52,74468969.0,1632787200,0
2021-09-29,102.295,102.66,99.81,100.35,52224719.0,1632873600,0
2021-09-30,102.08,104.44,101.99,102.9,57636699.0,1632960000,0
2021-10-01,102.6,103.0,100.64,102.45,41491594.0,1633046400,0
2021-10-04,101.742,101.85,99.82,100.34,41967152.0,1633305600,0
2021-10-05,100.92,102.8699,100.6101,101.81,31455250.0,1633392000,0
2021-10-06,100.445,103.72,100.35,103.64,39071699.0,1633478400,0
2021-10-07,104.6,107.95,104.46,106.45,41543113.0,1633564800,0
2021-10-08,106.55,107.28,104.89,105.06,30623051.0,1633651200,0
2021-10-11,104.62,107.2,104.022,104.68,31284391.0,1633910400,0
2021-10-12,105.165,106.04,104.34,105.04,34039910.0,1633996800,0
2021-10-13,106.275,109.88,106.25,109.16,55631922.0,1634083200,0
2021-10-14,110.5,112.22,109.6301,111.99,46900160.0,1634169600,0
2021-10-15,112.505,112.835,111.11,112.12,34203008.0,1634256000,0
2021-10-18,111.9,116.88,111.37,116.43,47537762.0,1634515200,0
2021-10-19,116.16,117.17,114.47,116.33,39593941.0,1634601600,0
2021-10-20,116.29,118.3001,115.421,116.39,34244809.0,1634688000,0
2021-10-21,116.5,119.68,116.26,119.33,34794953.0,1634774400,0
2021-10-22,120.825,121.56,118.37,119.82,38992688.0,1634860800,0
2021-10-25,120.515,123.4599,118.6,122.36,47834121.0,1635120000,0
2021-10-26,122.99,127.2,122.5782,122.93,59458930.0,1635206400,0
2021-10-27,121.63,128.08,121.05,122.28,98245320.0,1635292800,0
2021-10-28,122.855,123.5,120.26,121.16,58002461.0,1635379200,0
2021-10-29,120.95,122.57,119.88,120.23,43320129.0,1635465600,0
2021-11-01,119.45,125.67,118.1301,125.23,54559781.0,1635724800,0
2021-11-02,124.98,128.455,124.2,127.63,53491941.0,1635811200,0
2021-11-03,127.75,130.6,126.7901,130.53,59537820.0,1635897600,0
2021-11-04,132.01,139.0,130.77,137.5,84825156.0,1635984000,0
2021-11-05,139.185,141.22,134.42,136.34,64920602.0,1636070400,0
2021-11-08,137.7,153.6,137.7,150.16,141493797.0,1636329600,0
2021-11-09,154.01,155.65,143.89,148.92,98442602.0,1636416000,0
2021-11-10,143.93,146.3,138.52,139.87,82989148.0,1636502400,0
2021-11-11,142.955,146.47,140.84,146.01,67934852.0,1636588800,0
2021-11-12,146.025,148.59,144.25,147.89,52162141.0,1636675200,0
2021-11-15,148.0,148.98,142.86,146.49,52271273.0,1636934400,0
2021-11-16,145.93,153.08,145.34,152.45,53100809.0,1637020800,0
2021-11-17,151.98,154.6599,149.69,151.34,54527480.0,1637107200,0
2021-11-18,157.07,158.89,152.56,155.02,60612727.0,1637193600,0
2021-11-19,155.76,156.92,153.445,155.41,41668859.0,1637280000,0
2021-11-22,157.14,161.8799,152.39,152.52,58674078.0,1637539200,0
2021-11-23,150.41,152.66,145.2996,149.92,62852711.0,1637625600,0
2021-11-24,149.46,157.93,147.19,157.8,60677059.0,1637712000,0
