datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-07-12,267.697,269.89,260.3,261.79,2146200.0,1626048000,0
2021-07-13,261.14,267.49,259.11,261.16,2246300.0,1626134400,0
2021-07-14,263.16,264.06,252.65,254.23,2705200.0,1626220800,0
2021-07-15,255.74,255.85,247.05,249.3,2532900.0,1626307200,0
2021-07-16,252.01,253.63,248.419,249.96,2113800.0,1626393600,0
2021-07-19,245.05,252.15,239.71,250.4,3196100.0,1626652800,0
2021-07-20,254.895,255.0,245.87,252.24,2417500.0,1626739200,0
2021-07-21,252.45,254.84,249.51,253.55,1841500.0,1626825600,0
2021-07-22,254.72,265.0,254.642,263.04,3284300.0,1626912000,0
2021-07-23,261.32,272.63,260.518,268.96,3749100.0,1626998400,0
2021-07-26,267.56,268.31,261.43,264.83,1718200.0,1627257600,0
2021-07-27,266.0,266.961,254.03,257.84,2357700.0,1627344000,0
2021-07-28,260.18,264.88,258.0,263.58,1863100.0,1627430400,0
2021-07-29,263.51,266.76,259.56,260.03,2142700.0,1627516800,0
2021-07-30,256.07,259.57,252.571,253.61,2265900.0,1627603200,0
2021-08-02,254.26,257.17,246.2,253.91,2286500.0,1627862400,0
2021-08-03,255.31,262.582,250.58,254.34,2570700.0,1627948800,0
2021-08-04,255.38,265.19,254.13,264.21,2079800.0,1628035200,0
2021-08-05,265.31,268.33,261.435,265.62,1872000.0,1628121600,0
2021-08-06,264.3,267.74,256.13,260.74,1840000.0,1628208000,0
2021-08-09,258.95,265.5,258.196,263.56,1614200.0,1628467200,0
2021-08-10,266.25,266.685,252.1,252.67,3214400.0,1628553600,0
2021-08-11,254.205,254.98,233.86,239.88,5487800.0,1628640000,0
2021-08-12,240.0,247.46,239.88,245.82,2479500.0,1628726400,0
2021-08-13,245.82,248.964,242.28,243.82,1767400.0,1628812800,0
2021-08-16,243.33,243.459,229.07,234.71,3755700.0,1629072000,0
2021-08-17,234.0,234.27,227.25,232.8,3091400.0,1629158400,0
2021-08-18,233.475,237.5,230.23,233.78,2028000.0,1629244800,0
2021-08-19,231.975,237.2,231.02,234.96,2077100.0,1629331200,0
2021-08-20,236.54,238.64,233.322,237.88,1740900.0,1629417600,0
2021-08-23,242.1,246.81,239.311,245.8,2670900.0,1629676800,0
2021-08-24,260.57,269.68,258.42,265.63,11061200.0,1629763200,0
2021-08-25,267.03,275.75,265.19,270.0,14749100.0,1629849600,0
2021-08-26,269.58,281.81,268.39,278.77,6780100.0,1629936000,0
2021-08-27,279.545,285.76,277.75,282.31,4041400.0,1630022400,0
2021-08-30,285.31,289.24,280.5,286.37,4772900.0,1630281600,0
2021-08-31,281.99,286.4,278.375,281.0,8621700.0,1630368000,0
2021-09-01,273.22,285.45,269.284,269.97,11742300.0,1630454400,0
2021-09-02,272.25,275.18,269.38,272.67,4182400.0,1630540800,0
2021-09-03,272.59,278.84,271.2,278.23,3469300.0,1630627200,0
2021-09-07,279.37,279.8,268.309,269.68,4467400.0,1630972800,0
2021-09-08,270.23,270.58,263.66,265.23,3044700.0,1631059200,0
2021-09-09,265.01,269.85,264.53,265.16,2972200.0,1631145600,0
2021-09-10,268.07,269.7,260.57,262.0,3040700.0,1631232000,0
2021-09-13,258.72,259.69,248.38,254.03,4953400.0,1631491200,0
2021-09-14,256.04,259.053,253.83,257.3,2462300.0,1631577600,0
2021-09-15,257.89,259.98,254.36,259.57,2339500.0,1631664000,0
2021-09-16,260.23,265.06,257.05,264.74,2282800.0,1631750400,0
2021-09-17,266.33,266.72,259.57,263.09,4606600.0,1631836800,0
2021-09-20,254.35,261.62,253.13,257.56,2867000.0,1632096000,0
2021-09-21,254.65,259.59,252.51,254.11,4293100.0,1632182400,0
2021-09-22,252.89,261.07,250.55,259.86,2386300.0,1632268800,0
2021-09-23,262.49,264.29,259.93,262.29,1910600.0,1632355200,0
2021-09-24,262.05,262.05,254.17,261.75,2039400.0,1632441600,0
2021-09-27,259.3,260.89,250.3,253.34,3583400.0,1632700800,0
2021-09-28,249.05,249.83,240.31,241.86,3817700.0,1632787200,0
2021-09-29,243.7,248.32,238.57,239.57,2836500.0,1632873600,0
2021-09-30,240.88,247.71,240.27,245.78,2511700.0,1632960000,0
2021-10-01,246.65,252.62,243.23,249.27,2576100.0,1633046400,0
2021-10-04,245.57,247.26,235.63,238.88,3179800.0,1633305600,0
2021-10-05,240.09,246.1,239.277,244.92,2174900.0,1633392000,0
2021-10-06,243.34,251.61,242.77,248.2,2139200.0,1633478400,0
2021-10-07,251.328,253.78,249.67,249.88,1782000.0,1633564800,0
2021-10-08,250.152,250.97,243.5,245.0,1760700.0,1633651200,0
2021-10-11,243.21,248.71,241.65,244.36,1113200.0,1633910400,0
