datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-07-12,99.05,99.2,98.26,98.95,2050000.0,1626048000,0
2021-07-13,98.91,99.15,97.84,98.0,1650000.0,1626134400,0
2021-07-14,98.19,99.12,98.1,98.89,1680000.0,1626220800,0
2021-07-15,98.57,99.37,98.13,98.68,1580000.0,1626307200,0
2021-07-16,98.96,99.18,98.0,98.19,1450000.0,1626393600,0
2021-07-19,97.84,98.86,97.4,98.0,2310000.0,1626652800,0
2021-07-20,97.81,99.68,97.81,99.01,1840000.0,1626739200,0
2021-07-21,99.09,99.78,98.69,99.09,1830000.0,1626825600,0
2021-07-22,99.11,99.98,98.47,99.39,1560000.0,1626912000,0
2021-07-23,99.58,100.62,99.34,100.15,1240000.0,1626998400,0
2021-07-26,100.09,100.82,99.72,100.59,1360000.0,1627257600,0
2021-07-27,100.16,100.68,98.85,99.0,1730000.0,1627344000,0
2021-07-28,98.86,99.61,98.8,99.03,1670000.0,1627430400,0
2021-07-29,99.45,99.97,98.9,99.1,1310000.0,1627516800,0
2021-07-30,99.1,100.78,99.01,99.79,1320000.0,1627603200,0
2021-08-02,100.3,100.3,97.91,98.88,1750000.0,1627862400,0
2021-08-03,99.3,101.95,98.97,99.89,2630000.0,1627948800,0
2021-08-04,99.54,99.87,97.51,97.73,2190000.0,1628035200,0
2021-08-05,97.93,99.33,97.87,98.94,1590000.0,1628121600,0
2021-08-06,98.99,99.28,98.2,98.77,1980000.0,1628208000,0
2021-08-09,97.55,98.86,97.26,98.34,2330000.0,1628467200,0
2021-08-10,98.34,101.59,98.18,101.42,2480000.0,1628553600,0
2021-08-11,101.81,103.39,101.48,102.32,3010000.0,1628640000,0
2021-08-12,102.56,102.75,100.73,101.44,3410000.0,1628726400,0
2021-08-13,101.81,102.38,100.83,101.77,1220000.0,1628812800,0
2021-08-16,101.27,102.7,100.75,102.29,2400000.0,1629072000,0
2021-08-17,101.98,101.99,100.06,100.48,1680000.0,1629158400,0
2021-08-18,100.48,102.18,100.37,101.43,2300000.0,1629244800,0
2021-08-19,101.12,102.17,100.36,101.06,2270000.0,1629331200,0
2021-08-20,100.97,102.77,100.45,102.67,1510000.0,1629417600,0
2021-08-23,102.67,103.85,102.47,103.51,2850000.0,1629676800,0
2021-08-24,103.99,105.48,103.53,105.21,2220000.0,1629763200,0
2021-08-25,105.28,106.64,105.02,106.32,3180000.0,1629849600,0
2021-08-26,97.25,97.9,93.41,93.48,18550000.0,1629936000,0
2021-08-27,92.28,94.11,90.84,90.89,6580000.0,1630022400,0
2021-08-30,91.0,92.61,90.77,90.93,5500000.0,1630281600,0
2021-08-31,90.7,92.12,90.26,90.54,3370000.0,1630368000,0
2021-09-01,90.66,90.75,89.64,89.99,3040000.0,1630454400,0
2021-09-02,90.15,92.78,90.15,92.59,3650000.0,1630540800,0
2021-09-03,92.19,93.33,91.65,92.81,3940000.0,1630627200,0
2021-09-07,92.81,92.97,92.11,92.22,3200000.0,1630972800,0
2021-09-08,92.31,93.46,91.5,93.09,3730000.0,1631059200,0
2021-09-09,93.11,93.25,90.97,91.2,3020000.0,1631145600,0
2021-09-10,91.37,91.69,90.13,90.21,3000000.0,1631232000,0
2021-09-13,90.63,90.67,88.81,89.26,4490000.0,1631491200,0
2021-09-14,89.54,89.54,87.87,88.43,1740000.0,1631577600,0
2021-09-15,88.23,88.88,87.12,88.44,3290000.0,1631664000,0
2021-09-16,88.46,89.8,88.32,89.27,3920000.0,1631750400,0
2021-09-17,89.31,90.45,89.15,89.31,3840000.0,1631836800,0
2021-09-20,88.51,89.86,86.87,87.68,2960000.0,1632096000,0
2021-09-21,87.64,88.22,85.98,86.26,2510000.0,1632182400,0
2021-09-22,86.66,86.89,84.96,85.25,3810000.0,1632268800,0
2021-09-23,85.41,86.56,85.33,85.6,4690000.0,1632355200,0
2021-09-24,85.45,85.64,84.26,84.54,3740000.0,1632441600,0
2021-09-27,84.51,87.27,84.41,86.87,3420000.0,1632700800,0
2021-09-28,86.91,87.51,86.01,86.28,2640000.0,1632787200,0
2021-09-29,93.1,101.43,92.96,100.51,26440000.0,1632873600,0
2021-09-30,99.41,99.78,94.25,95.72,15170000.0,1632960000,0
2021-10-01,94.47,99.63,93.7,97.98,7060000.0,1633046400,0
2021-10-04,97.95,100.25,97.66,98.37,6850000.0,1633305600,0
2021-10-05,98.28,99.31,97.16,97.17,3640000.0,1633392000,0
2021-10-06,96.66,97.67,96.07,97.11,3490000.0,1633478400,0
