datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-07-12,172.37,173.48,171.48,172.1,875346.0,1626048000,0
2021-07-13,172.58,175.25,172.085,173.55,1207447.0,1626134400,0
2021-07-14,173.87,174.5515,170.02,171.88,692674.0,1626220800,0
2021-07-15,171.66,171.72,167.06,168.24,1030574.0,1626307200,0
2021-07-16,168.26,170.9,168.26,170.52,899836.0,1626393600,0
2021-07-19,169.94,172.23,166.61,168.96,2109719.0,1626652800,0
2021-07-20,170.91,171.1,167.97,170.02,861594.0,1626739200,0
2021-07-21,170.47,171.57,170.135,170.9,903476.0,1626825600,0
2021-07-22,170.68,171.59,169.2,171.28,606248.0,1626912000,0
2021-07-23,171.15,174.09,169.27,173.29,1253479.0,1626998400,0
2021-07-26,173.7,173.7,171.12,172.9,816851.0,1627257600,0
2021-07-27,172.84,173.255,164.63,167.5,1481618.0,1627344000,0
2021-07-28,168.65,173.11,168.17,171.28,1153488.0,1627430400,0
2021-07-29,171.2,172.99,168.85,169.99,1037646.0,1627516800,0
2021-07-30,168.97,174.2,168.575,173.42,1940968.0,1627603200,0
2021-08-02,175.67,176.82,173.01,173.21,2372588.0,1627862400,0
2021-08-03,162.99,162.99,155.4,159.86,5935523.0,1627948800,0
2021-08-04,161.08,163.62,158.14,158.75,2136380.0,1628035200,0
2021-08-05,158.83,159.07,155.71,156.78,2643162.0,1628121600,0
2021-08-06,156.31,159.78,156.03,158.3,2280044.0,1628208000,0
2021-08-09,158.28,161.6,158.225,160.57,1145469.0,1628467200,0
2021-08-10,160.56,161.16,159.09,159.68,1113584.0,1628553600,0
2021-08-11,161.13,161.29,158.76,159.93,1068738.0,1628640000,0
2021-08-12,158.75,160.87,158.28,160.37,1116473.0,1628726400,0
2021-08-13,161.06,162.66,159.96,160.35,926101.0,1628812800,0
2021-08-16,159.151,160.595,158.98,160.35,816112.0,1629072000,0
2021-08-17,159.37,163.63,158.45,163.47,1311509.0,1629158400,0
2021-08-18,163.65,164.87,161.55,161.62,1164332.0,1629244800,0
2021-08-19,161.39,163.785,160.76,162.27,767290.0,1629331200,0
2021-08-20,161.98,163.69,159.41,160.96,1040395.0,1629417600,0
2021-08-23,161.12,163.93,160.43,163.36,782379.0,1629676800,0
2021-08-24,164.16,164.5561,163.12,163.82,677592.0,1629763200,0
2021-08-25,164.07,164.62,160.5,160.66,893361.0,1629849600,0
2021-08-26,160.62,160.96,158.56,158.88,916271.0,1629936000,0
2021-08-27,159.34,161.3,158.67,160.03,1524927.0,1630022400,0
2021-08-30,158.99,159.57,156.62,158.14,1106368.0,1630281600,0
2021-08-31,158.83,161.99,158.25,161.22,1257557.0,1630368000,0
2021-09-01,162.35,163.43,160.15,161.93,878747.0,1630454400,0
2021-09-02,162.55,163.69,161.63,162.03,730473.0,1630540800,0
2021-09-03,161.72,162.13,160.35,160.56,559480.0,1630627200,0
2021-09-07,160.7,161.04,158.09,159.11,795458.0,1630972800,0
2021-09-08,159.36,160.18,157.57,159.45,605562.0,1631059200,0
2021-09-09,158.27,158.88,156.7,157.03,833682.0,1631145600,0
2021-09-10,153.1,156.0,151.71,153.94,2895720.0,1631232000,0
2021-09-13,154.63,156.4,152.275,152.93,1144795.0,1631491200,0
2021-09-14,152.535,153.54,151.39,152.15,1351017.0,1631577600,0
2021-09-15,152.14,153.85,150.41,152.69,1068353.0,1631664000,0
2021-09-16,152.11,153.2092,151.32,151.89,862973.0,1631750400,0
2021-09-17,149.486,151.99,148.87,151.66,2075042.0,1631836800,0
2021-09-20,150.32,151.95,147.12,148.84,1030442.0,1632096000,0
2021-09-21,149.19,149.215,145.6,145.72,1040683.0,1632182400,0
2021-09-22,145.91,147.1,144.581,145.25,1650559.0,1632268800,0
2021-09-23,147.53,149.21,145.75,146.68,1180709.0,1632355200,0
2021-09-24,146.52,148.07,145.77,147.36,1024128.0,1632441600,0
2021-09-27,146.876,148.87,145.42,148.65,1048829.0,1632700800,0
2021-09-28,148.29,152.15,148.16,149.11,1867137.0,1632787200,0
2021-09-29,148.74,152.7,148.495,151.6,1429057.0,1632873600,0
2021-09-30,152.72,155.36,152.49,154.07,1480357.0,1632960000,0
2021-10-01,154.38,160.03,151.86,158.54,1868833.0,1633046400,0
2021-10-04,157.72,157.91,155.4137,157.13,991918.0,1633305600,0
2021-10-05,157.18,162.28,156.9778,162.02,1712487.0,1633392000,0
2021-10-06,161.53,166.28,160.47,165.44,2267607.0,1633478400,0
2021-10-07,166.1,172.23,165.95,170.77,1926993.0,1633564800,0
2021-10-08,171.36,175.55,169.12,173.69,1824816.0,1633651200,0
2021-10-11,173.32,173.92,169.78,170.72,1137501.0,1633910400,0
2021-10-12,171.27,172.41,170.09,171.35,652348.0,1633996800,0
2021-10-13,171.58,172.34,170.24,170.6,940776.0,1634083200,0
2021-10-14,171.17,172.1,168.455,169.38,933299.0,1634169600,0
2021-10-15,169.54,172.7,169.02,170.56,1057553.0,1634256000,0
2021-10-18,170.54,172.94,169.38,171.75,607717.0,1634515200,0
2021-10-19,172.38,173.81,171.08,172.04,925704.0,1634601600,0
2021-10-20,172.69,174.87,171.52,173.5,628763.0,1634688000,0
2021-10-21,173.93,182.735,173.08,182.06,1949120.0,1634774400,0
2021-10-22,181.76,182.5,178.52,180.75,1206998.0,1634860800,0
2021-10-25,180.33,183.1294,179.07,182.99,806399.0,1635120000,0
2021-10-26,183.46,184.74,181.13,182.54,761035.0,1635206400,0
2021-10-27,182.66,183.93,180.02,180.91,887380.0,1635292800,0
2021-10-28,180.26,187.1261,177.5,181.11,1628712.0,1635379200,0
2021-10-29,181.35,184.47,179.74,181.0,1075629.0,1635465600,0
2021-11-01,181.51,185.22,181.22,183.8,1518574.0,1635724800,0
2021-11-02,183.0,184.38,181.6,183.94,1083152.0,1635811200,0
2021-11-03,181.21,184.79,179.6,184.16,1691964.0,1635897600,0
2021-11-04,189.01,193.34,186.42,192.91,2941937.0,1635984000,0
2021-11-05,192.26,195.825,185.6701,187.2,1736205.0,1636070400,0
2021-11-08,187.5,187.55,181.68,185.14,1219231.0,1636329600,0
2021-11-09,186.99,189.89,185.92,186.81,873570.0,1636416000,0
2021-11-10,186.29,186.29,181.07,182.75,1021875.0,1636502400,0
2021-11-11,183.19,186.44,182.585,185.71,775035.0,1636588800,0
