datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,396.24,409.88,395.14,406.14,2102606.0,1623628800,0
2021-06-15,403.5,410.405,393.91,396.08,1905116.0,1623715200,0
2021-06-16,394.3,403.01,388.52,391.31,1572778.0,1623801600,0
2021-06-17,391.31,396.89,380.17,383.52,1832967.0,1623888000,0
2021-06-18,387.19,391.0,381.6501,388.44,2873627.0,1623974400,0
2021-06-21,388.86,390.99,379.11,380.91,1898236.0,1624233600,0
2021-06-22,379.95,381.0,369.49,374.4,1769991.0,1624320000,0
2021-06-23,376.01,376.01,364.3,371.9,1778532.0,1624406400,0
2021-06-24,349.96,358.37,346.35,349.16,4647613.0,1624492800,0
2021-06-25,348.67,353.57,345.13,347.93,2251619.0,1624579200,0
2021-06-28,343.0,343.46,333.28,340.27,1942692.0,1624838400,0
2021-06-29,338.87,346.71,336.72,345.72,1427612.0,1624924800,0
2021-06-30,345.0,349.5,342.75,346.27,1067024.0,1625011200,0
2021-07-01,346.0,350.38,345.46,348.92,997983.0,1625097600,0
2021-07-02,349.535,350.07,343.845,348.72,811846.0,1625184000,0
2021-07-06,347.6,347.71,340.27,344.89,1041306.0,1625529600,0
2021-07-07,344.95,355.82,344.39,355.33,1377933.0,1625616000,0
2021-07-08,350.07,370.0625,350.07,369.05,2344903.0,1625702400,0
2021-07-09,371.86,372.115,351.01,358.16,2720137.0,1625788800,0
2021-07-12,357.03,357.99,348.6,349.04,1188601.0,1626048000,0
2021-07-13,349.09,357.24,347.5,351.92,974294.0,1626134400,0
2021-07-14,351.33,358.77,349.68,352.06,1237209.0,1626220800,0
2021-07-15,341.85,343.04,323.71,328.16,3031694.0,1626307200,0
2021-07-16,323.97,331.11,323.0,324.62,1535229.0,1626393600,0
2021-07-19,323.08,326.97,320.11,324.16,1036536.0,1626652800,0
2021-07-20,324.7,327.515,317.255,322.49,1384677.0,1626739200,0
2021-07-21,321.41,324.52,318.29,322.96,1126276.0,1626825600,0
2021-07-22,320.04,330.64,319.2282,326.36,1485809.0,1626912000,0
2021-07-23,322.1,328.15,319.85,325.4,1015969.0,1626998400,0
2021-07-26,324.41,335.0,322.51,331.93,1269843.0,1627257600,0
2021-07-27,332.07,334.5,326.5,333.96,929293.0,1627344000,0
2021-07-28,333.75,336.95,329.815,334.18,713808.0,1627430400,0
2021-07-29,334.99,336.92,329.0,329.17,660182.0,1627516800,0
2021-07-30,326.365,331.45,325.4,326.73,942841.0,1627603200,0
2021-08-02,327.04,336.08,326.26,331.7,962798.0,1627862400,0
2021-08-03,331.81,338.36,325.09,338.0,1326650.0,1627948800,0
2021-08-04,336.92,342.86,335.03,338.1,1216600.0,1628035200,0
2021-08-05,336.83,340.5,334.42,336.59,715059.0,1628121600,0
2021-08-06,335.75,342.16,333.0,340.0,822250.0,1628208000,0
2021-08-09,339.99,347.34,338.0,340.2,1047022.0,1628467200,0
2021-08-10,339.09,340.74,334.68,337.22,801198.0,1628553600,0
2021-08-11,337.39,342.0,336.39,339.05,784096.0,1628640000,0
2021-08-12,335.87,341.0,334.61,340.68,806367.0,1628726400,0
2021-08-13,340.34,345.08,339.02,342.25,744573.0,1628812800,0
2021-08-16,341.92,344.0,337.2,343.5,836747.0,1629072000,0
2021-08-17,340.9,350.07,340.76,349.79,1139421.0,1629158400,0
2021-08-18,349.43,351.86,341.31,341.87,668685.0,1629244800,0
2021-08-19,341.88,347.79,337.68,338.62,954703.0,1629331200,0
2021-08-20,339.72,345.74,337.08,341.74,794166.0,1629417600,0
2021-08-23,342.33,349.6299,341.16,346.43,809981.0,1629676800,0
2021-08-24,346.75,350.45,345.89,349.4,628888.0,1629763200,0
2021-08-25,347.24,347.69,341.5,342.75,791032.0,1629849600,0
2021-08-26,343.28,347.13,342.02,342.24,717188.0,1629936000,0
2021-08-27,341.81,347.7422,338.52,343.19,614933.0,1630022400,0
2021-08-30,342.92,345.775,340.75,344.42,555098.0,1630281600,0
2021-08-31,344.62,345.61,337.9013,338.91,984416.0,1630368000,0
2021-09-01,340.78,341.29,336.44,338.24,791504.0,1630454400,0
2021-09-02,338.67,338.69,327.8,335.57,1221727.0,1630540800,0
2021-09-03,336.8,337.7999,333.06,333.6,549554.0,1630627200,0
2021-09-07,331.31,332.87,325.22,327.24,967291.0,1630972800,0
2021-09-08,330.22,330.22,318.07,321.55,1142376.0,1631059200,0
2021-09-09,322.0,322.49,295.22,300.15,3549552.0,1631145600,0
2021-09-10,299.97,302.47,295.25,299.81,1380418.0,1631232000,0
2021-09-13,301.872,306.46,300.0,301.94,797533.0,1631491200,0
2021-09-14,301.68,301.98,294.34,295.95,1039040.0,1631577600,0
2021-09-15,298.99,302.42,296.36,299.21,1125808.0,1631664000,0
2021-09-16,300.79,302.93,296.77,299.69,752177.0,1631750400,0
2021-09-17,300.85,300.85,296.56,300.19,1680045.0,1631836800,0
2021-09-20,297.94,301.58,296.31,298.49,931996.0,1632096000,0
2021-09-21,300.97,304.21,292.73,295.54,738111.0,1632182400,0
2021-09-22,289.44,292.17,285.4,289.32,1420160.0,1632268800,0
2021-09-23,293.69,299.83,292.1,293.2,919368.0,1632355200,0
2021-09-24,289.86,293.47,289.0,291.71,817514.0,1632441600,0
2021-09-27,290.55,291.0,286.16,286.62,704314.0,1632700800,0
2021-09-28,290.82,291.5423,284.2466,284.71,785427.0,1632787200,0
2021-09-29,285.76,289.335,284.635,285.56,700697.0,1632873600,0
2021-09-30,286.23,287.8,282.64,282.99,793947.0,1632960000,0
2021-10-01,281.35,285.41,279.24,283.94,925888.0,1633046400,0
2021-10-04,281.44,284.5599,277.41,278.32,924972.0,1633305600,0
2021-10-05,278.34,282.26,278.34,280.44,1010668.0,1633392000,0
2021-10-06,280.12,285.57,279.12,283.55,978647.0,1633478400,0
2021-10-07,285.52,290.76,284.585,287.77,879949.0,1633564800,0
2021-10-08,287.44,288.99,284.0,285.83,629562.0,1633651200,0
2021-10-11,284.65,288.77,283.45,285.59,620624.0,1633910400,0
2021-10-12,285.48,288.59,283.7901,284.79,616171.0,1633996800,0
2021-10-13,284.9,285.3,280.5,283.65,521416.0,1634083200,0
2021-10-14,286.001,287.93,282.65,285.26,705378.0,1634169600,0
2021-10-15,285.34,286.0,278.57,281.19,1299757.0,1634256000,0
2021-10-18,279.42,279.5,269.19,269.73,1496125.0,1634515200,0
2021-10-19,270.0,271.66,266.3,268.13,1801734.0,1634601600,0
2021-10-20,270.11,277.87,264.78,266.57,2153129.0,1634688000,0
2021-10-21,266.3,271.94,266.29,270.21,1374221.0,1634774400,0
2021-10-22,269.38,270.37,264.3518,264.8,873344.0,1634860800,0
2021-10-25,266.0,271.51,265.0,269.94,1092900.0,1635120000,0
2021-10-26,269.88,273.64,267.02,271.12,1453846.0,1635206400,0
2021-10-27,270.17,270.6,259.63,259.95,1276207.0,1635292800,0
2021-10-28,260.45,266.5,260.45,264.87,1273468.0,1635379200,0
2021-10-29,264.41,268.32,262.02,266.68,947732.0,1635465600,0
2021-11-01,266.15,274.75,265.5,272.1,1222875.0,1635724800,0
2021-11-02,272.27,274.5,264.58,272.51,1839353.0,1635811200,0
2021-11-03,271.53,279.805,269.98,279.59,1041545.0,1635897600,0
2021-11-04,279.59,280.62,275.32,280.41,949184.0,1635984000,0
2021-11-05,279.31,284.59,276.42,278.68,833821.0,1636070400,0
2021-11-08,279.51,279.71,268.27,272.7,1152090.0,1636329600,0
2021-11-09,272.0,274.69,267.0,270.03,894746.0,1636416000,0
2021-11-10,270.03,273.92,266.05,266.93,709040.0,1636502400,0
2021-11-11,266.62,267.61,264.0,266.57,637723.0,1636588800,0
2021-11-12,270.67,272.55,267.52,270.43,844973.0,1636675200,0
2021-11-15,273.82,276.5,270.7,271.82,756345.0,1636934400,0
2021-11-16,268.27,268.72,260.86,261.55,1159547.0,1637020800,0
2021-11-17,254.56,261.41,252.02,258.38,1497148.0,1637107200,0
2021-11-18,259.98,260.73,253.18,256.79,976060.0,1637193600,0
2021-11-19,257.71,260.16,254.57,257.19,898789.0,1637280000,0
2021-11-22,257.97,258.89,250.67,252.21,1290306.0,1637539200,0
2021-11-23,252.07,254.45,249.52,254.15,799083.0,1637625600,0
2021-11-24,253.18,253.18,247.6592,250.13,1579981.0,1637712000,0
2021-11-26,250.78,250.78,242.02,242.9,1300389.0,1637884800,0
2021-11-29,245.36,245.5,235.18,236.11,2229359.0,1638144000,0
2021-11-30,236.5,239.77,228.68,235.74,3294340.0,1638230400,0
2021-12-01,236.98,239.58,228.88,229.5,1673215.0,1638316800,0
2021-12-02,228.55,229.47,224.46,228.52,1276301.0,1638403200,0
2021-12-03,227.69,229.04,221.72,223.92,1427674.0,1638489600,0
2021-12-06,223.2,226.2199,222.15,224.11,1101930.0,1638748800,0
2021-12-07,225.17,228.8,223.645,226.83,941336.0,1638835200,0
2021-12-08,227.18,235.22,225.9,234.72,1419135.0,1638921600,0
2021-12-09,232.86,236.885,230.81,232.43,1365204.0,1639008000,0
2021-12-10,232.8,233.685,229.52,232.62,998894.0,1639094400,0
2021-12-13,231.68,235.8,230.1844,234.5,1236639.0,1639353600,0
2021-12-14,233.93,236.63,230.17,230.76,1232546.0,1639440000,0
2021-12-15,230.2,236.37,228.945,235.88,1262400.0,1639526400,0
2021-12-16,237.29,243.43,234.86,235.52,1252236.0,1639612800,0
2021-12-17,233.0,239.9,232.58,237.43,2267426.0,1639699200,0
2021-12-20,239.75,240.0,234.25,236.96,1127714.0,1639958400,0
2021-12-21,235.05,237.6,230.05,234.65,1030215.0,1640044800,0
2021-12-22,236.26,236.48,231.29,234.48,783315.0,1640131200,0
2021-12-23,232.95,236.21,232.04,235.41,1003269.0,1640217600,0
2021-12-27,235.23,236.7,232.36,234.19,1745063.0,1640563200,0
2021-12-28,233.34,236.96,233.02,235.99,775050.0,1640649600,0
2021-12-29,235.0,265.54,234.13,258.31,6869673.0,1640736000,0
2021-12-30,245.19,247.0,237.0461,240.0,4423115.0,1640822400,0
2021-12-31,239.76,243.71,239.5,239.92,1532687.0,1640908800,0
2022-01-03,240.15,247.505,238.0701,244.14,1642225.0,1641168000,0
2022-01-04,245.13,245.45,239.0,241.73,1283416.0,1641254400,0
2022-01-05,241.73,249.0,239.18,239.27,1167572.0,1641340800,0
2022-01-06,240.3,242.45,236.85,237.3,1037023.0,1641427200,0
2022-01-07,235.55,236.9,231.62,232.6,1394961.0,1641513600,0
2022-01-10,232.75,235.55,230.54,235.31,1754008.0,1641772800,0
2022-01-11,235.4,243.71,235.0,241.52,1557679.0,1641859200,0
2022-01-12,223.1,227.59,217.1,225.34,7511100.0,1641945600,0
2022-01-13,225.3,239.64,225.295,236.67,3781424.0,1642032000,0
2022-01-14,235.08,239.47,233.8,239.3,1768027.0,1642118400,0
2022-01-18,238.9029,238.9029,231.365,233.81,1631502.0,1642464000,0
2022-01-19,235.51,235.51,230.65,230.81,1258546.0,1642550400,0
2022-01-20,231.28,233.12,225.62,225.91,1471363.0,1642636800,0
2022-01-21,225.37,226.37,220.29,220.52,2205640.0,1642723200,0
2022-01-24,220.22,224.87,214.88,224.69,1995905.0,1642982400,0
2022-01-25,221.16,224.91,218.37,222.31,1507171.0,1643068800,0
2022-01-26,223.14,226.88,218.23,219.6,1684554.0,1643155200,0
2022-01-27,221.26,223.74,218.2,218.94,1102108.0,1643241600,0
2022-01-28,218.16,225.23,217.92,225.21,1325611.0,1643328000,0
2022-01-31,223.03,228.01,221.88,226.0,2518557.0,1643587200,0
2022-02-01,227.17,231.22,226.95,229.37,1049621.0,1643673600,0
2022-02-02,228.67,228.765,222.27,224.96,1083303.0,1643760000,0
2022-02-03,215.0,223.14,212.56,220.17,2005011.0,1643846400,0
2022-02-04,215.3,223.1,215.27,221.53,1265876.0,1643932800,0
2022-02-07,220.74,223.43,219.39,221.3,832583.0,1644192000,0
2022-02-08,220.37,223.38,216.9,222.39,991314.0,1644278400,0
2022-02-09,224.33,228.53,222.205,226.81,989661.0,1644364800,0
2022-02-10,224.47,226.97,219.03,220.04,1315981.0,1644451200,0
2022-02-11,219.24,221.58,214.11,214.59,1118644.0,1644537600,0
2022-02-14,214.87,215.37,211.287,214.12,872877.0,1644796800,0
2022-02-15,214.01,217.87,214.01,217.37,741704.0,1644883200,0
2022-02-16,216.73,216.73,213.39,214.55,763773.0,1644969600,0
2022-02-17,212.6,214.14,209.07,210.6,1083624.0,1645056000,0
2022-02-18,209.28,211.5,207.61,209.79,1053454.0,1645142400,0
2022-02-22,208.31,212.26,208.31,209.81,1253954.0,1645488000,0
2022-02-23,210.07,211.5511,208.94,209.08,964644.0,1645574400,0
2022-02-24,204.86,207.05,200.36,203.12,1883274.0,1645660800,0
2022-02-25,204.49,209.93,203.88,207.38,1035215.0,1645747200,0
2022-02-28,204.4,211.17,202.58,211.01,1395347.0,1646006400,0
2022-03-01,210.58,213.8,209.41,210.34,804438.0,1646092800,0
2022-03-02,210.34,211.055,206.43,207.79,1108441.0,1646179200,0
2022-03-03,213.03,213.71,209.19,211.23,942065.0,1646265600,0
2022-03-04,208.94,211.36,208.94,209.45,708833.0,1646352000,0
2022-03-07,208.23,218.22,205.01,205.78,1309707.0,1646611200,0
2022-03-08,201.3,209.83,201.01,202.01,1407235.0,1646697600,0
2022-03-09,206.14,209.695,201.49,202.27,1236890.0,1646784000,0
2022-03-10,201.0,203.36,194.94,198.64,1166270.0,1646870400,0
2022-03-11,201.13,201.66,197.25,197.67,787917.0,1646956800,0
2022-03-14,198.59,201.52,192.67,193.77,1475811.0,1647216000,0
2022-03-15,193.21,197.42,193.09,197.36,1306304.0,1647302400,0
2022-03-16,201.23,204.2485,198.06,203.8,1074987.0,1647388800,0
2022-03-17,203.04,206.6,202.01,205.32,1057118.0,1647475200,0
2022-03-18,204.39,208.88,203.07,208.57,2102826.0,1647561600,0
2022-03-21,207.7,209.03,203.99,206.81,1284435.0,1647820800,0
2022-03-22,206.66,212.11,205.995,210.92,849668.0,1647907200,0
2022-03-23,210.92,213.11,209.38,209.62,955507.0,1647993600,0
2022-03-24,210.51,213.72,210.01,213.01,736209.0,1648080000,0
2022-03-25,213.32,214.1163,209.41,210.97,685954.0,1648166400,0
2022-03-28,210.08,212.26,208.23,211.68,807568.0,1648425600,0
2022-03-29,212.955,215.93,212.66,214.95,699660.0,1648512000,0
2022-03-30,214.95,216.3599,210.32,211.03,585581.0,1648598400,0
2022-03-31,212.13,213.235,210.1,210.6,951448.0,1648684800,0
2022-04-01,212.49,212.97,208.49,210.65,675812.0,1648771200,0
2022-04-04,212.06,213.495,211.07,211.64,800513.0,1649030400,0
2022-04-05,210.38,214.14,207.35,207.61,1404938.0,1649116800,0
