datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,88.71,89.08,87.04,87.7,1196554.0,1623628800,0
2021-06-15,88.49,89.665,88.2,89.11,1457210.0,1623715200,0
2021-06-16,88.58,89.09,87.225,87.79,1460145.0,1623801600,0
2021-06-17,87.87,88.175,86.53,87.33,1346812.0,1623888000,0
2021-06-18,86.32,87.05,85.55,86.36,2206821.0,1623974400,0
2021-06-21,87.29,89.27,86.88,89.0,1843055.0,1624233600,0
2021-06-22,88.94,89.12,87.995,88.36,1581237.0,1624320000,0
2021-06-23,88.21,88.25,86.55,86.57,1649316.0,1624406400,0
2021-06-24,87.26,87.81,86.52,87.72,1039420.0,1624492800,0
2021-06-25,87.74,88.19,86.95,87.23,1730796.0,1624579200,0
2021-06-28,87.09,87.34,86.09,86.72,829846.0,1624838400,0
2021-06-29,87.05,87.66,85.84,85.99,1018730.0,1624924800,0
2021-06-30,85.91,86.39,85.3234,85.73,1445087.0,1625011200,0
2021-07-01,86.36,87.76,86.0,87.18,1194291.0,1625097600,0
2021-07-02,87.35,87.54,85.44,85.92,983367.0,1625184000,0
2021-07-06,85.92,86.19,83.87,84.94,2008891.0,1625529600,0
2021-07-07,84.59,85.535,84.31,85.14,1534717.0,1625616000,0
2021-07-08,84.16,85.5,83.21,84.25,1229196.0,1625702400,0
2021-07-09,85.41,86.27,84.8391,85.83,1554771.0,1625788800,0
2021-07-12,85.21,86.14,84.74,85.81,1345031.0,1626048000,0
2021-07-13,85.6,85.69,82.89,83.19,1155992.0,1626134400,0
2021-07-14,83.04,84.36,83.04,83.49,936615.0,1626220800,0
2021-07-15,82.91,84.25,82.75,83.5,1180479.0,1626307200,0
2021-07-16,84.37,84.39,82.95,82.96,684084.0,1626393600,0
2021-07-19,81.75,81.97,79.84,80.54,1692111.0,1626652800,0
2021-07-20,81.07,84.36,80.94,83.86,1270927.0,1626739200,0
2021-07-21,84.41,86.19,84.36,85.96,1240299.0,1626825600,0
2021-07-22,85.94,86.76,84.99,86.69,1654577.0,1626912000,0
2021-07-23,87.06,88.78,86.8613,87.73,1834716.0,1626998400,0
2021-07-26,87.59,89.62,87.27,89.2,1309750.0,1627257600,0
2021-07-27,89.19,91.44,88.87,91.35,1884364.0,1627344000,0
2021-07-28,91.35,91.74,90.165,91.0,1991444.0,1627430400,0
2021-07-29,94.5,97.43,94.05,95.56,1887493.0,1627516800,0
2021-07-30,95.8,97.22,95.01,96.46,1670445.0,1627603200,0
2021-08-02,97.38,97.96,95.36,95.65,1032828.0,1627862400,0
2021-08-03,96.18,96.29,94.82,96.21,1166624.0,1627948800,0
2021-08-04,96.5,98.37,95.91,96.64,1713386.0,1628035200,0
2021-08-05,96.9,98.93,96.9,98.13,1377504.0,1628121600,0
2021-08-06,98.47,98.91,96.85,97.75,978145.0,1628208000,0
2021-08-09,97.13,97.51,95.94,96.3,1272156.0,1628467200,0
2021-08-10,96.2,96.9,95.95,96.31,1338299.0,1628553600,0
2021-08-11,96.67,97.0,95.7,96.1,1265519.0,1628640000,0
2021-08-12,95.62,96.27,94.9,95.6,1666282.0,1628726400,0
2021-08-13,95.41,95.51,94.4,95.38,735810.0,1628812800,0
2021-08-16,94.99,94.99,93.71,94.34,1060466.0,1629072000,0
