datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,687.23,691.61,681.36,690.61,730840.0,1623628800,0
2021-06-15,691.88,695.19,686.76,687.83,626480.0,1623715200,0
2021-06-16,690.78,693.76,676.08,682.07,801490.0,1623801600,0
2021-06-17,687.3,699.51,684.22,691.05,835310.0,1623888000,0
2021-06-18,685.59,691.38,678.0,685.6,1970000.0,1623974400,0
2021-06-21,688.9,696.2,683.62,694.81,1170000.0,1624233600,0
2021-06-22,694.67,709.75,692.14,706.99,785700.0,1624320000,0
2021-06-23,704.84,707.15,697.11,699.29,713670.0,1624406400,0
2021-06-24,702.89,713.39,700.2,711.54,665010.0,1624492800,0
2021-06-25,712.59,722.1,711.28,721.29,1150000.0,1624579200,0
2021-06-28,723.26,726.66,716.71,721.36,1010000.0,1624838400,0
2021-06-29,719.34,722.4,716.85,717.46,1140000.0,1624924800,0
2021-06-30,717.47,723.46,715.75,721.45,575670.0,1625011200,0
2021-07-01,721.52,727.97,720.47,721.8,820470.0,1625097600,0
2021-07-02,725.56,733.62,723.71,731.92,509950.0,1625184000,0
2021-07-06,729.91,735.91,721.76,729.54,611480.0,1625529600,0
2021-07-07,733.04,743.51,729.91,742.37,586110.0,1625616000,0
2021-07-08,736.21,749.31,736.21,743.5,736780.0,1625702400,0
2021-07-09,738.31,745.68,736.21,736.47,764660.0,1625788800,0
2021-07-12,729.87,729.87,709.0,719.8,1210000.0,1626048000,0
2021-07-13,720.69,722.21,710.1,710.7,705860.0,1626134400,0
2021-07-14,713.36,713.36,700.89,701.37,960180.0,1626220800,0
2021-07-15,704.71,707.79,700.62,704.93,949900.0,1626307200,0
2021-07-16,707.19,717.2,703.84,709.99,566550.0,1626393600,0
2021-07-19,709.94,718.56,706.39,711.47,786300.0,1626652800,0
2021-07-20,715.94,726.63,712.4,718.76,798220.0,1626739200,0
2021-07-21,715.62,720.67,712.72,718.42,581860.0,1626825600,0
2021-07-22,720.83,722.77,713.27,720.22,448850.0,1626912000,0
