datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,109.5,110.47,106.26,106.62,2511655.0,1623628800,0
2021-06-15,105.93,107.86,104.88,106.5,2218010.0,1623715200,0
2021-06-16,105.22,107.75,104.99,107.09,2579532.0,1623801600,0
2021-06-17,105.81,107.43,101.51,103.83,3644837.0,1623888000,0
2021-06-18,100.86,103.43,99.48,100.06,4759350.0,1623974400,0
2021-06-21,101.83,103.96,99.78,103.82,3154895.0,1624233600,0
2021-06-22,103.642,106.51,102.03,104.31,3973279.0,1624320000,0
2021-06-23,104.4,105.75,102.05,103.22,2507594.0,1624406400,0
2021-06-24,104.67,106.31,104.26,104.73,2076358.0,1624492800,0
2021-06-25,104.707,105.02,100.261,102.43,27148289.0,1624579200,0
2021-06-28,102.26,102.26,98.4,100.54,2736845.0,1624838400,0
2021-06-29,100.34,102.2,100.18,100.88,3465702.0,1624924800,0
2021-06-30,100.92,104.03,99.83,103.75,2270475.0,1625011200,0
2021-07-01,104.975,106.07,102.74,102.9,1900023.0,1625097600,0
2021-07-02,103.6,103.89,101.72,102.41,1287385.0,1625184000,0
2021-07-06,101.96,102.21,96.92,98.45,3182548.0,1625529600,0
2021-07-07,98.4,99.0695,94.38,95.55,3166464.0,1625616000,0
2021-07-08,92.43,96.24,92.01,94.56,2429634.0,1625702400,0
2021-07-09,96.08,97.48,95.01,96.86,2401439.0,1625788800,0
2021-07-12,97.68,99.0,96.15,98.35,1476853.0,1626048000,0
2021-07-13,96.95,97.92,96.05,96.77,1961611.0,1626134400,0
2021-07-14,97.91,99.02,94.13,94.52,2223857.0,1626220800,0
2021-07-15,93.44,95.5,92.38,94.47,1866003.0,1626307200,0
2021-07-16,95.53,95.6756,89.59,89.9,2335628.0,1626393600,0
2021-07-19,86.715,89.97,85.372,87.77,3448631.0,1626652800,0
2021-07-20,88.12,92.21,86.76,91.3,2619574.0,1626739200,0
2021-07-21,92.51,96.105,92.06,93.99,2390905.0,1626825600,0
2021-07-22,93.69,94.38,91.68,92.52,1565456.0,1626912000,0
2021-07-23,93.57,93.73,90.18,90.31,1624221.0,1626998400,0
2021-07-26,90.63,93.29,89.47,93.25,1737100.0,1627257600,0
2021-07-27,92.76,93.24,88.64,92.51,1907753.0,1627344000,0
2021-07-28,93.27,94.84,88.5501,92.37,2884694.0,1627430400,0
2021-07-29,93.0,93.02,89.74,89.86,1850832.0,1627516800,0
2021-07-30,88.8,90.35,86.59,87.36,2970811.0,1627603200,0
2021-08-02,88.33,90.645,86.21,86.5,2062187.0,1627862400,0
2021-08-03,86.78,87.32,82.98,86.78,4022151.0,1627948800,0
2021-08-04,88.39,88.82,84.63,84.99,4892061.0,1628035200,0
2021-08-05,84.99,91.47,84.88,90.5,4103341.0,1628121600,0
2021-08-06,91.0,92.23,89.5524,90.5,3147158.0,1628208000,0
2021-08-09,92.0,92.04,89.02,90.84,3230613.0,1628467200,0
2021-08-10,91.42,92.1,89.855,90.57,1563297.0,1628553600,0
2021-08-11,90.1,93.26,89.3331,92.95,2824765.0,1628640000,0
2021-08-12,93.11,93.98,90.36,93.76,2041995.0,1628726400,0
2021-08-13,93.97,93.97,90.69,91.02,2339962.0,1628812800,0
2021-08-16,89.7,89.7,86.5,87.4,1992174.0,1629072000,0
