datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,213.27,213.49,198.0,207.41,11740000.0,1623628800,0
2021-06-15,203.49,207.85,199.2,201.59,6790000.0,1623715200,0
2021-06-16,200.0,203.98,193.2,197.84,7260000.0,1623801600,0
2021-06-17,200.0,203.92,197.72,202.47,4960000.0,1623888000,0
2021-06-18,201.39,204.84,194.51,199.19,6660000.0,1623974400,0
2021-06-21,200.86,211.04,200.0,208.24,7420000.0,1624233600,0
2021-06-22,210.76,222.4,210.25,221.36,10070000.0,1624320000,0
2021-06-23,219.98,224.57,205.55,212.04,14560000.0,1624406400,0
2021-06-24,214.38,221.49,213.46,220.14,8170000.0,1624492800,0
2021-06-25,221.26,226.51,216.33,219.94,13320000.0,1624579200,0
2021-06-28,223.0,225.09,215.6,222.94,6190000.0,1624838400,0
2021-06-29,221.19,238.4,219.33,234.46,11420000.0,1624924800,0
2021-06-30,237.98,245.7,232.41,234.98,9320000.0,1625011200,0
2021-07-01,236.3,236.71,227.67,235.11,5930000.0,1625097600,0
2021-07-02,235.1,238.9,230.14,234.3,4200000.0,1625184000,0
2021-07-06,229.62,234.6,225.43,233.34,4960000.0,1625529600,0
2021-07-07,231.76,231.86,220.82,221.9,4890000.0,1625616000,0
2021-07-08,215.66,233.41,214.07,232.79,8720000.0,1625702400,0
2021-07-09,231.96,233.8,224.28,232.81,5310000.0,1625788800,0
2021-07-12,230.98,242.39,229.2,239.34,6940000.0,1626048000,0
2021-07-13,239.14,239.82,233.8,235.15,4190000.0,1626134400,0
2021-07-14,237.24,249.92,237.22,246.66,9420000.0,1626220800,0
2021-07-15,246.66,261.22,245.51,259.67,15130000.0,1626307200,0
2021-07-16,276.92,288.88,271.5,286.43,41400000.0,1626393600,0
2021-07-19,284.54,317.88,283.14,313.59,35530000.0,1626652800,0
2021-07-20,318.22,342.51,292.0,307.33,123120000.0,1626739200,0
2021-07-21,298.51,325.88,293.62,321.11,30860000.0,1626825600,0
2021-07-22,319.0,329.6,316.29,323.48,16490000.0,1626912000,0
2021-07-23,330.9,349.45,325.17,348.83,23430000.0,1626998400,0
2021-07-26,352.0,362.0,329.15,335.87,23390000.0,1627257600,0
2021-07-27,335.31,344.89,318.29,328.5,17200000.0,1627344000,0
2021-07-28,333.01,350.99,327.5,349.32,13090000.0,1627430400,0
2021-07-29,350.64,351.22,336.0,345.64,10100000.0,1627516800,0
2021-07-30,346.9,359.9,342.28,353.6,11350000.0,1627603200,0
2021-08-02,360.0,365.6,343.2,346.61,13690000.0,1627862400,0
2021-08-03,348.5,386.98,344.5,386.51,20420000.0,1627948800,0
2021-08-04,385.0,433.0,377.11,419.05,32250000.0,1628035200,0
2021-08-05,409.72,443.99,403.0,416.26,25570000.0,1628121600,0
2021-08-06,410.3,419.26,393.61,413.72,18920000.0,1628208000,0
2021-08-09,411.3,493.76,409.66,484.47,42270000.0,1628467200,0
2021-08-10,485.5,497.49,454.0,456.76,36500000.0,1628553600,0
2021-08-11,443.57,453.73,372.0,385.33,53880000.0,1628640000,0
2021-08-12,400.0,406.35,377.09,391.42,34350000.0,1628726400,0
2021-08-13,405.24,406.32,387.1,389.78,16530000.0,1628812800,0
2021-08-16,379.27,379.57,349.0,373.86,23600000.0,1629072000,0
2021-08-17,361.0,402.49,358.55,401.86,25980000.0,1629158400,0
2021-08-18,406.5,413.3,386.21,398.8,19120000.0,1629244800,0
2021-08-19,385.0,394.92,375.0,375.53,14250000.0,1629331200,0
2021-08-20,374.55,387.49,369.26,382.98,13220000.0,1629417600,0
2021-08-23,390.34,411.97,385.77,411.89,15800000.0,1629676800,0
2021-08-24,405.69,407.58,387.56,394.94,13960000.0,1629763200,0
2021-08-25,391.7,413.8,387.97,397.87,14430000.0,1629849600,0
2021-08-26,395.45,404.67,392.15,400.3,8900000.0,1629936000,0
2021-08-27,398.83,398.98,378.72,382.22,13190000.0,1630022400,0
2021-08-30,369.0,389.04,362.8,370.69,15530000.0,1630281600,0
2021-08-31,375.91,384.68,370.5,376.69,10920000.0,1630368000,0
2021-09-01,382.84,394.98,375.2,389.94,11620000.0,1630454400,0
2021-09-02,393.13,402.8,390.52,397.66,8910000.0,1630540800,0
2021-09-03,392.71,416.81,388.68,416.7,13860000.0,1630627200,0
2021-09-07,409.5,438.55,408.96,436.39,16000000.0,1630972800,0
2021-09-08,433.72,437.17,418.2,422.9,11480000.0,1631059200,0
2021-09-09,429.93,459.42,427.09,455.92,22190000.0,1631145600,0
2021-09-10,463.16,464.85,448.11,449.38,12600000.0,1631232000,0
2021-09-13,448.0,448.81,415.0,419.72,15660000.0,1631491200,0
2021-09-14,419.27,443.76,418.63,427.71,14740000.0,1631577600,0
2021-09-15,427.45,437.8,422.16,434.46,12890000.0,1631664000,0
2021-09-16,431.21,446.64,429.0,440.65,10110000.0,1631750400,0
2021-09-17,438.53,442.0,406.87,430.05,30540000.0,1631836800,0
2021-09-20,417.51,435.45,416.51,423.33,12930000.0,1632096000,0
2021-09-21,424.3,439.59,420.3,434.04,9360000.0,1632182400,0
2021-09-22,433.09,443.73,428.6,440.72,9000000.0,1632268800,0
2021-09-23,439.79,458.5,438.79,454.6,9620000.0,1632355200,0
2021-09-24,448.08,453.61,426.61,430.14,12980000.0,1632441600,0
2021-09-27,430.6,434.0,407.26,408.84,13350000.0,1632700800,0
2021-09-28,398.56,403.3,376.03,384.21,15940000.0,1632787200,0
2021-09-29,393.21,397.98,375.55,378.9,11420000.0,1632873600,0
2021-09-30,381.82,390.6,377.1,384.86,9610000.0,1632960000,0
2021-10-01,358.33,359.11,323.41,341.09,34350000.0,1633046400,0
2021-10-04,308.88,330.55,305.0,325.84,23330000.0,1633305600,0
2021-10-05,331.0,338.03,327.2,332.11,11640000.0,1633392000,0
2021-10-06,318.71,325.68,300.62,302.42,17460000.0,1633478400,0
2021-10-07,295.46,317.35,293.58,309.36,15790000.0,1633564800,0
2021-10-08,310.8,314.05,297.54,304.91,10630000.0,1633651200,0
2021-10-11,299.32,314.11,298.1,305.1,7630000.0,1633910400,0
2021-10-12,313.03,315.94,301.91,311.13,10190000.0,1633996800,0
2021-10-13,314.9,327.74,313.3,321.5,12770000.0,1634083200,0
2021-10-14,329.0,337.36,322.1,331.88,12850000.0,1634169600,0
2021-10-15,341.01,341.55,318.5,324.21,17240000.0,1634256000,0
2021-10-18,322.26,338.54,320.54,334.84,8750000.0,1634515200,0
2021-10-19,339.11,347.87,331.01,333.61,8560000.0,1634601600,0
2021-10-20,334.01,338.6,329.36,333.01,4980000.0,1634688000,0
2021-10-21,337.21,341.52,333.4,339.57,5600000.0,1634774400,0
2021-10-22,332.54,335.75,317.18,326.54,7780000.0,1634860800,0
2021-10-25,327.36,350.06,323.27,349.56,9770000.0,1635120000,0
2021-10-26,352.0,356.77,341.37,345.74,6670000.0,1635206400,0
2021-10-27,344.25,350.64,338.34,340.88,4720000.0,1635292800,0
2021-10-28,343.1,353.28,341.54,347.92,4740000.0,1635379200,0
2021-10-29,344.47,347.7,337.25,345.21,4460000.0,1635465600,0
2021-11-01,334.99,338.07,320.55,337.17,8660000.0,1635724800,0
2021-11-02,338.74,349.45,337.04,348.64,5260000.0,1635811200,0
2021-11-03,350.0,350.1,336.2,345.92,6450000.0,1635897600,0
2021-11-04,295.81,297.73,278.0,284.02,30970000.0,1635984000,0
2021-11-05,241.57,246.1,210.96,236.99,59630000.0,1636070400,0
2021-11-08,233.06,245.92,233.06,244.68,14610000.0,1636329600,0
2021-11-09,246.07,250.57,232.21,236.85,10960000.0,1636416000,0
2021-11-10,230.1,239.1,225.57,228.96,9120000.0,1636502400,0
2021-11-11,227.67,232.27,221.6,225.82,8360000.0,1636588800,0
2021-11-12,225.86,232.56,224.42,231.19,6830000.0,1636675200,0
2021-11-15,230.82,236.6,225.63,235.07,5670000.0,1636934400,0
2021-11-16,234.01,239.99,230.29,234.28,5330000.0,1637020800,0
2021-11-17,234.79,249.14,234.57,242.23,8020000.0,1637107200,0
2021-11-18,246.12,253.19,243.79,251.41,7400000.0,1637193600,0
2021-11-19,265.42,274.84,258.09,263.78,15620000.0,1637280000,0
2021-11-22,268.07,289.0,264.2,282.69,13850000.0,1637539200,0
2021-11-23,277.74,281.98,269.18,276.38,6900000.0,1637625600,0
2021-11-24,273.01,275.28,266.31,273.39,4760000.0,1637712000,0
2021-11-26,319.34,350.15,313.0,329.63,35900000.0,1637884800,0
2021-11-29,370.33,376.65,350.27,368.51,33950000.0,1638144000,0
2021-11-30,351.58,357.64,337.29,352.43,25160000.0,1638230400,0
2021-12-01,330.0,336.36,310.57,310.61,21600000.0,1638316800,0
2021-12-02,301.29,318.47,291.03,301.49,15410000.0,1638403200,0
2021-12-03,318.09,318.79,293.6,306.72,12700000.0,1638489600,0
2021-12-06,280.85,287.48,256.56,265.33,19840000.0,1638748800,0
2021-12-07,268.14,287.77,263.07,282.35,10770000.0,1638835200,0
2021-12-08,282.38,288.28,272.91,283.4,7110000.0,1638921600,0
2021-12-09,285.19,285.71,271.33,272.21,5230000.0,1639008000,0
2021-12-10,235.4,261.97,233.51,257.06,17510000.0,1639094400,0
2021-12-13,257.4,275.78,256.97,271.99,10590000.0,1639353600,0
2021-12-14,264.3,278.33,257.2,277.16,6440000.0,1639440000,0
2021-12-15,271.8,290.35,271.55,283.28,9270000.0,1639526400,0
2021-12-16,284.2,287.13,277.07,282.02,5970000.0,1639612800,0
2021-12-17,275.57,296.39,269.0,294.8,10630000.0,1639699200,0
2021-12-20,321.3,321.3,275.12,276.38,16990000.0,1639958400,0
2021-12-21,275.5,281.3,257.2,268.14,12540000.0,1640044800,0
2021-12-22,264.06,267.0,245.5,251.36,13960000.0,1640131200,0
2021-12-23,250.41,253.65,238.5,249.99,9840000.0,1640217600,0
2021-12-27,243.0,252.72,240.58,246.88,8260000.0,1640563200,0
2021-12-28,245.37,254.57,237.58,241.44,9290000.0,1640649600,0
2021-12-29,239.33,249.49,233.2,247.88,9140000.0,1640736000,0
2021-12-30,243.83,254.32,242.13,251.6,6580000.0,1640822400,0
2021-12-31,249.88,259.2,246.7,253.98,6820000.0,1640908800,0
2022-01-03,247.12,249.42,231.08,235.05,11890000.0,1641168000,0
2022-01-04,232.2,239.43,225.24,233.06,10460000.0,1641254400,0
2022-01-05,232.1,237.88,214.6,215.23,9040000.0,1641340800,0
2022-01-06,216.04,222.22,205.23,216.06,8170000.0,1641427200,0
2022-01-07,216.41,221.97,211.95,213.86,5280000.0,1641513600,0
2022-01-10,211.37,241.99,207.5,233.7,17190000.0,1641772800,0
2022-01-11,226.0,228.0,220.28,221.39,7330000.0,1641859200,0
2022-01-12,220.48,228.5,218.76,222.89,5850000.0,1641945600,0
2022-01-13,219.56,221.5,209.58,210.17,7410000.0,1642032000,0
2022-01-14,204.01,212.76,200.08,204.73,10170000.0,1642118400,0
2022-01-18,196.91,198.82,185.39,186.61,11040000.0,1642464000,0
2022-01-19,188.84,191.34,173.41,174.07,10600000.0,1642550400,0
2022-01-20,174.99,177.47,166.21,167.52,11490000.0,1642636800,0
2022-01-21,166.23,171.25,157.29,160.07,11800000.0,1642723200,0
2022-01-24,153.47,158.0,138.17,157.3,16640000.0,1642982400,0
2022-01-25,156.01,168.26,150.0,152.54,11470000.0,1643068800,0
2022-01-26,157.99,165.85,152.8,154.96,9300000.0,1643155200,0
2022-01-27,157.43,158.28,146.54,148.62,8660000.0,1643241600,0
2022-01-28,149.95,159.87,146.76,159.47,6760000.0,1643328000,0
