datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,183.91,185.85,182.3201,184.94,636620.0,1623628800,0
2021-06-15,184.0,186.26,181.58,181.91,651936.0,1623715200,0
2021-06-16,182.32,184.09,180.015,181.71,997803.0,1623801600,0
2021-06-17,181.12,183.5,178.96,181.33,785129.0,1623888000,0
2021-06-18,179.45,180.165,173.16,174.19,2088671.0,1623974400,0
2021-06-21,174.43,178.98,174.21,176.24,781608.0,1624233600,0
2021-06-22,175.8,178.125,174.96,176.26,929114.0,1624320000,0
2021-06-23,177.0,179.41,176.63,177.88,669801.0,1624406400,0
2021-06-24,179.58,184.37,179.58,182.89,896108.0,1624492800,0
2021-06-25,184.47,186.59,182.81,183.35,1055879.0,1624579200,0
2021-06-28,184.75,189.31,184.19,187.33,862229.0,1624838400,0
2021-06-29,188.96,198.95,187.9216,195.66,2062958.0,1624924800,0
2021-06-30,195.58,195.9957,193.33,195.65,902307.0,1625011200,0
2021-07-01,196.39,196.39,192.2902,193.18,887654.0,1625097600,0
2021-07-02,195.0,197.32,193.34,195.67,724122.0,1625184000,0
2021-07-06,195.81,197.0662,192.44,194.3,911318.0,1625529600,0
2021-07-07,196.0,196.0,188.785,192.0,848952.0,1625616000,0
2021-07-08,187.03,191.45,185.33,189.44,838031.0,1625702400,0
2021-07-09,190.0,193.34,187.85,192.94,814474.0,1625788800,0
2021-07-12,193.23,194.196,191.69,193.62,871092.0,1626048000,0
2021-07-13,193.525,193.65,190.73,192.79,678665.0,1626134400,0
2021-07-14,197.14,199.56,192.18,192.42,895938.0,1626220800,0
2021-07-15,193.21,193.465,189.17,190.95,598163.0,1626307200,0
2021-07-16,191.26,193.14,187.5,187.68,952404.0,1626393600,0
2021-07-19,185.0,187.22,182.5,187.13,734063.0,1626652800,0
2021-07-20,187.07,191.09,185.63,189.7,631235.0,1626739200,0
2021-07-21,190.0,194.115,190.0,194.07,742203.0,1626825600,0
2021-07-22,193.23,193.35,190.1511,191.41,619436.0,1626912000,0
2021-07-23,192.43,193.6204,190.41,193.09,354722.0,1626998400,0
2021-07-26,192.78,193.7299,190.92,192.0,628427.0,1627257600,0
2021-07-27,191.33,191.33,183.195,187.15,966886.0,1627344000,0
2021-07-28,188.18,191.295,187.27,190.34,683306.0,1627430400,0
2021-07-29,190.92,195.2,190.5,194.04,714824.0,1627516800,0
2021-07-30,189.51,191.05,186.74,189.59,1184923.0,1627603200,0
2021-08-02,191.3,195.31,191.01,192.36,964653.0,1627862400,0
