datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,110.13,110.2,108.09,109.11,4863564.0,1623628800,0
2021-06-15,109.38,109.975,108.43,109.73,3655070.0,1623715200,0
2021-06-16,109.85,109.91,107.47,108.2,4554963.0,1623801600,0
2021-06-17,108.06,110.26,107.99,109.05,4220957.0,1623888000,0
2021-06-18,108.23,108.6,107.42,107.56,4886462.0,1623974400,0
2021-06-21,108.2,109.36,107.68,108.49,3756531.0,1624233600,0
2021-06-22,108.49,108.6012,107.4,108.3,3567462.0,1624320000,0
2021-06-23,108.3,108.51,107.28,107.37,3172771.0,1624406400,0
2021-06-24,108.06,109.05,107.865,108.5,3052329.0,1624492800,0
2021-06-25,108.44,109.37,108.18,108.99,5546522.0,1624579200,0
2021-06-28,109.25,109.48,107.355,108.13,3592635.0,1624838400,0
2021-06-29,108.08,108.91,106.48,106.59,4325595.0,1624924800,0
2021-06-30,106.6,107.16,106.36,106.89,4234221.0,1625011200,0
2021-07-01,107.26,108.81,107.11,108.34,3196813.0,1625097600,0
2021-07-02,108.72,109.54,108.47,109.27,3262078.0,1625184000,0
2021-07-06,109.18,109.49,108.07,108.7,3827688.0,1625529600,0
2021-07-07,109.08,109.68,108.81,109.14,3254923.0,1625616000,0
2021-07-08,108.35,108.45,107.27,107.74,3197168.0,1625702400,0
2021-07-09,108.57,109.48,108.39,108.94,2865574.0,1625788800,0
2021-07-12,108.24,109.03,107.79,108.83,3119230.0,1626048000,0
2021-07-13,109.29,110.59,108.9,110.09,4127016.0,1626134400,0
2021-07-14,110.07,110.505,109.42,109.74,3672625.0,1626220800,0
2021-07-15,109.63,111.01,109.5,110.8,3616539.0,1626307200,0
2021-07-16,111.385,112.47,111.16,111.2,3616440.0,1626393600,0
2021-07-19,110.18,110.18,106.05,106.66,4818580.0,1626652800,0
2021-07-20,106.87,109.73,106.73,108.84,4586920.0,1626739200,0
2021-07-21,109.0,110.18,108.57,110.04,2747993.0,1626825600,0
2021-07-22,110.32,110.48,108.955,110.05,3066022.0,1626912000,0
2021-07-23,110.73,112.16,110.26,111.79,3542467.0,1626998400,0
2021-07-26,111.31,111.93,110.68,111.35,3402139.0,1627257600,0
2021-07-27,113.0,117.0,112.5,114.68,8284987.0,1627344000,0
2021-07-28,115.14,115.53,112.88,113.91,3925898.0,1627430400,0
2021-07-29,114.33,115.6201,114.33,114.46,2881931.0,1627516800,0
2021-07-30,113.96,115.38,113.6,115.11,3441890.0,1627603200,0
2021-08-02,115.94,116.04,109.0013,109.75,7416549.0,1627862400,0
2021-08-03,110.0,110.515,105.89,108.2,8642412.0,1627948800,0
2021-08-04,107.61,109.35,106.35,108.74,6085592.0,1628035200,0
2021-08-05,108.77,110.8,108.77,109.64,3642398.0,1628121600,0
2021-08-06,109.48,111.71,109.22,110.89,4889542.0,1628208000,0
2021-08-09,110.82,110.97,109.94,110.32,2355413.0,1628467200,0
2021-08-10,110.87,111.105,110.3,111.0,2929827.0,1628553600,0
2021-08-11,111.6,112.17,110.62,111.81,2619294.0,1628640000,0
2021-08-12,111.55,111.746,110.6,110.96,2180526.0,1628726400,0
2021-08-13,111.66,112.2899,111.27,111.62,1986251.0,1628812800,0
2021-08-16,110.833,112.43,110.22,112.34,3150697.0,1629072000,0
2021-08-17,111.84,113.47,111.42,112.93,5038720.0,1629158400,0
2021-08-18,112.5,115.31,112.035,114.26,5550859.0,1629244800,0
2021-08-19,113.88,119.86,112.54,116.25,10284300.0,1629331200,0
2021-08-20,116.374,117.9,115.82,116.09,5865359.0,1629417600,0
2021-08-23,116.8066,117.9692,116.06,117.87,2883206.0,1629676800,0
2021-08-24,118.08,119.43,117.87,118.62,3592451.0,1629763200,0
2021-08-25,118.6,119.51,118.0413,119.11,2368350.0,1629849600,0
2021-08-26,118.66,118.95,117.37,117.41,2418014.0,1629936000,0
2021-08-27,117.64,118.33,117.35,117.94,2457631.0,1630022400,0
2021-08-30,117.4,118.07,116.0,116.96,3195990.0,1630281600,0
2021-08-31,117.59,118.1,116.69,117.79,3432009.0,1630368000,0
2021-09-01,117.99,118.83,117.5812,118.34,3312183.0,1630454400,0
2021-09-02,118.93,118.99,115.51,115.83,3309842.0,1630540800,0
2021-09-03,115.5,116.28,115.16,115.66,2429430.0,1630627200,0
2021-09-07,115.5,116.29,114.87,115.0,4334146.0,1630972800,0
2021-09-08,114.99,117.42,114.61,117.0,4753112.0,1631059200,0
2021-09-09,117.0,117.21,114.85,115.01,3125125.0,1631145600,0
2021-09-10,115.6762,115.6762,110.58,110.68,5279302.0,1631232000,0
2021-09-13,110.83,112.17,109.43,110.07,4352320.0,1631491200,0
2021-09-14,110.08,110.32,106.48,107.39,5279548.0,1631577600,0
2021-09-15,107.15,109.22,106.74,108.36,4744642.0,1631664000,0
2021-09-16,108.2,109.11,108.03,108.55,3683662.0,1631750400,0
2021-09-17,107.515,108.79,107.12,108.62,4690055.0,1631836800,0
2021-09-20,107.4,107.55,105.48,107.33,4665586.0,1632096000,0
2021-09-21,107.7,107.93,105.99,106.21,3448973.0,1632182400,0
2021-09-22,106.91,109.45,106.72,108.69,3602599.0,1632268800,0
2021-09-23,108.77,110.7192,108.23,110.24,3003508.0,1632355200,0
2021-09-24,110.0,110.92,109.68,109.74,1993318.0,1632441600,0
2021-09-27,108.74,110.62,108.74,109.14,2729805.0,1632700800,0
2021-09-28,108.76,109.88,108.46,109.33,3653088.0,1632787200,0
2021-09-29,109.23,111.685,109.08,110.67,3696593.0,1632873600,0
2021-09-30,110.951,111.52,108.2,108.5,3921882.0,1632960000,0
2021-10-01,109.03,110.43,108.01,109.78,2177545.0,1633046400,0
2021-10-04,109.62,109.62,106.77,108.26,3251126.0,1633305600,0
2021-10-05,108.19,109.2208,107.63,108.02,2214538.0,1633392000,0
2021-10-06,106.98,108.62,106.06,108.48,2383831.0,1633478400,0
2021-10-07,109.06,110.5,108.84,109.26,1902344.0,1633564800,0
2021-10-08,109.47,110.06,107.72,107.89,2404564.0,1633651200,0
2021-10-11,107.73,107.84,103.61,103.77,3362809.0,1633910400,0
2021-10-12,104.01,105.68,103.38,104.3,2805994.0,1633996800,0
2021-10-13,104.43,104.97,102.68,104.34,2760358.0,1634083200,0
2021-10-14,105.5,108.02,105.18,107.78,2698639.0,1634169600,0
2021-10-15,108.55,110.16,108.31,109.8,3309977.0,1634256000,0
2021-10-18,108.445,110.8,107.7889,110.01,2902897.0,1634515200,0
2021-10-19,110.39,111.31,109.32,111.29,2474501.0,1634601600,0
2021-10-20,109.75,111.13,109.61,110.11,2643699.0,1634688000,0
2021-10-21,109.75,110.21,108.86,110.16,2144937.0,1634774400,0
2021-10-22,109.85,110.63,109.435,110.18,2209805.0,1634860800,0
2021-10-25,110.24,111.66,109.69,111.11,3694710.0,1635120000,0
2021-10-26,111.84,111.84,109.59,109.84,3303591.0,1635206400,0
2021-10-27,107.0,107.33,95.48,98.83,19436400.0,1635292800,0
2021-10-28,98.71,99.09,94.385,98.53,13347870.0,1635379200,0
2021-10-29,98.35,100.32,98.175,98.49,5108273.0,1635465600,0
2021-11-01,98.74,102.29,98.33,101.99,5504224.0,1635724800,0
2021-11-02,101.33,101.59,95.74,99.38,10150390.0,1635811200,0
2021-11-03,99.62,101.59,99.25,101.46,5974837.0,1635897600,0
2021-11-04,102.22,104.77,100.34,101.97,6561793.0,1635984000,0
2021-11-05,102.37,103.75,99.81,100.36,5417976.0,1636070400,0
2021-11-08,100.59,100.83,99.4,100.02,4592419.0,1636329600,0
2021-11-09,99.82,100.49,98.68,99.62,4381536.0,1636416000,0
2021-11-10,99.91,101.275,99.51,100.25,6117881.0,1636502400,0
2021-11-11,100.2,100.82,99.77,99.92,3741805.0,1636588800,0
2021-11-12,100.192,101.7,100.15,100.82,3681580.0,1636675200,0
2021-11-15,100.76,102.381,100.75,101.84,3723842.0,1636934400,0
2021-11-16,102.0,103.05,101.765,102.11,4614895.0,1637020800,0
2021-11-17,101.41,101.59,98.21,100.88,8019397.0,1637107200,0
2021-11-18,100.77,101.46,98.74,101.25,6308646.0,1637193600,0
2021-11-19,101.28,101.67,99.675,100.06,6572826.0,1637280000,0
