datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,582.55,592.93,580.0,592.36,225290.0,1623628800,0
2021-06-15,593.84,594.43,587.42,592.26,303600.0,1623715200,0
2021-06-16,595.19,597.17,587.98,593.52,408500.0,1623801600,0
2021-06-17,596.71,606.31,596.71,604.2,336310.0,1623888000,0
2021-06-18,605.05,609.22,599.94,601.05,723610.0,1623974400,0
2021-06-21,601.05,608.83,592.4,606.63,299180.0,1624233600,0
2021-06-22,605.25,612.47,602.16,611.64,341710.0,1624320000,0
2021-06-23,612.61,617.46,606.68,615.88,319160.0,1624406400,0
2021-06-24,617.41,622.78,605.37,614.93,393210.0,1624492800,0
2021-06-25,618.88,621.87,614.84,620.64,465320.0,1624579200,0
2021-06-28,621.93,633.74,621.62,631.9,356930.0,1624838400,0
2021-06-29,629.66,639.65,627.22,637.08,348420.0,1624924800,0
2021-06-30,635.56,637.55,628.22,631.55,371880.0,1625011200,0
2021-07-01,628.81,640.46,627.23,638.95,313050.0,1625097600,0
2021-07-02,643.31,649.55,639.54,648.2,287910.0,1625184000,0
2021-07-06,650.0,660.3,644.67,658.99,345830.0,1625529600,0
2021-07-07,661.9,667.0,658.54,665.31,415070.0,1625616000,0
2021-07-08,657.84,662.59,647.66,659.94,390120.0,1625702400,0
2021-07-09,657.54,669.2,653.34,667.03,332770.0,1625788800,0
2021-07-12,661.63,666.18,655.53,659.54,421820.0,1626048000,0
2021-07-13,661.45,664.92,658.28,662.58,242710.0,1626134400,0
2021-07-14,664.79,666.99,657.96,659.85,340090.0,1626220800,0
2021-07-15,659.07,659.57,649.39,657.42,428810.0,1626307200,0
2021-07-16,659.55,670.74,658.44,667.76,351740.0,1626393600,0
2021-07-19,661.58,670.84,659.34,669.4,335460.0,1626652800,0
2021-07-20,670.92,675.09,663.08,669.39,591890.0,1626739200,0
2021-07-21,667.84,671.35,652.0,670.51,380730.0,1626825600,0
2021-07-22,673.13,683.47,673.09,683.03,305270.0,1626912000,0
2021-07-23,680.6,696.35,679.92,693.74,243890.0,1626998400,0
2021-07-26,691.14,691.14,677.76,685.67,253400.0,1627257600,0
2021-07-27,688.8,692.06,681.17,686.95,272680.0,1627344000,0
2021-07-28,684.13,698.17,684.13,695.58,280830.0,1627430400,0
2021-07-29,693.96,706.02,693.74,704.16,465810.0,1627516800,0
2021-07-30,666.31,681.17,655.5,678.53,697320.0,1627603200,0
2021-08-02,687.41,688.69,666.85,678.72,354080.0,1627862400,0
2021-08-03,682.19,698.44,681.22,695.67,467830.0,1627948800,0
2021-08-04,696.12,706.51,694.97,698.48,358200.0,1628035200,0
2021-08-05,700.38,706.0,693.0,705.76,265760.0,1628121600,0
2021-08-06,695.69,698.9,673.09,685.2,388860.0,1628208000,0
2021-08-09,685.2,688.77,680.29,686.41,240420.0,1628467200,0
2021-08-10,688.14,688.14,669.26,671.53,349460.0,1628553600,0
2021-08-11,672.64,676.29,657.12,665.32,342010.0,1628640000,0
2021-08-12,663.05,676.89,663.05,675.67,264430.0,1628726400,0
2021-08-13,671.46,678.0,665.75,672.1,216240.0,1628812800,0
2021-08-16,673.77,676.34,668.09,675.48,334130.0,1629072000,0
2021-08-17,669.84,679.74,668.21,678.12,264670.0,1629158400,0
2021-08-18,677.02,684.31,676.61,676.94,265190.0,1629244800,0
2021-08-19,674.88,690.0,673.1,681.71,395070.0,1629331200,0
2021-08-20,681.71,685.22,672.53,682.14,378530.0,1629417600,0
2021-08-23,683.15,683.15,669.31,671.11,471450.0,1629676800,0
2021-08-24,671.72,673.54,667.25,672.54,398080.0,1629763200,0
2021-08-25,675.42,678.4,665.94,676.42,357750.0,1629849600,0
2021-08-26,676.93,681.91,670.03,673.36,290610.0,1629936000,0
2021-08-27,673.9,681.25,667.55,668.27,316300.0,1630022400,0
2021-08-30,667.27,690.11,666.92,686.97,407530.0,1630281600,0
2021-08-31,689.06,689.06,667.32,673.76,544630.0,1630368000,0
2021-09-01,671.64,678.42,659.27,676.9,393590.0,1630454400,0
2021-09-02,677.38,687.69,676.97,685.44,331280.0,1630540800,0
2021-09-03,682.1,692.16,680.19,688.33,294330.0,1630627200,0
2021-09-07,684.04,686.2,667.08,681.67,459020.0,1630972800,0
2021-09-08,681.84,695.18,677.51,687.7,344210.0,1631059200,0
2021-09-09,690.03,692.32,675.66,676.57,336650.0,1631145600,0
2021-09-10,679.86,686.13,675.53,681.61,293770.0,1631232000,0
