datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,141.85,145.325,141.555,143.86,1473915.0,1623628800,0
2021-06-15,143.59,144.31,142.1,142.34,1102560.0,1623715200,0
2021-06-16,142.6,145.26,141.76,143.02,1715008.0,1623801600,0
2021-06-17,141.89,151.05,141.14,150.25,3008761.0,1623888000,0
2021-06-18,151.12,155.75,149.56,153.92,3776210.0,1623974400,0
2021-06-21,154.52,157.14,151.3,155.72,2235098.0,1624233600,0
2021-06-22,155.96,159.99,154.81,159.06,2443961.0,1624320000,0
2021-06-23,158.82,162.17,156.37,161.53,2034435.0,1624406400,0
2021-06-24,162.6,167.455,162.56,164.27,2195165.0,1624492800,0
2021-06-25,165.47,165.71,161.33,161.99,4200297.0,1624579200,0
2021-06-28,161.14,162.291,159.28,161.53,1922132.0,1624838400,0
2021-06-29,160.5,162.98,159.28,162.28,1285495.0,1624924800,0
2021-06-30,162.27,163.12,160.58,161.25,1532866.0,1625011200,0
2021-07-01,160.6,163.64,157.95,159.48,1881085.0,1625097600,0
2021-07-02,160.41,163.9022,159.665,161.4,1270284.0,1625184000,0
2021-07-06,161.35,163.21,160.25,161.24,1076898.0,1625529600,0
2021-07-07,162.49,162.49,156.725,157.69,1438199.0,1625616000,0
2021-07-08,155.81,158.9,154.31,158.25,1217292.0,1625702400,0
2021-07-09,159.76,162.78,158.14,162.63,1436175.0,1625788800,0
2021-07-12,163.21,164.3035,161.3,162.84,1385222.0,1626048000,0
2021-07-13,162.75,166.6799,162.19,164.61,1760949.0,1626134400,0
2021-07-14,165.25,166.79,160.26,161.53,1354163.0,1626220800,0
2021-07-15,162.1,164.55,158.16,162.83,2185175.0,1626307200,0
2021-07-16,163.17,163.32,158.98,161.17,1128362.0,1626393600,0
2021-07-19,159.4,160.0,152.48,153.33,3142392.0,1626652800,0
2021-07-20,153.51,155.59,153.075,153.77,4783575.0,1626739200,0
2021-07-21,154.3,160.86,154.17,159.7,1834768.0,1626825600,0
2021-07-22,159.29,160.69,157.6293,160.5,884264.0,1626912000,0
2021-07-23,161.18,168.205,161.18,165.86,2363343.0,1626998400,0
2021-07-26,165.18,165.54,162.11,164.23,1286345.0,1627257600,0
2021-07-27,164.57,165.39,159.07,162.18,1423989.0,1627344000,0
2021-07-28,162.91,167.005,162.15,163.62,1737416.0,1627430400,0
2021-07-29,163.7,165.215,162.203,163.4,911352.0,1627516800,0
2021-07-30,161.44,161.96,159.04,159.27,1359723.0,1627603200,0
2021-08-02,161.05,163.0,157.01,161.34,1592449.0,1627862400,0
2021-08-03,162.45,162.45,155.23,158.47,2354685.0,1627948800,0
2021-08-04,152.1,152.8,146.47,150.57,6548882.0,1628035200,0
2021-08-05,149.88,150.245,145.0,146.42,4417268.0,1628121600,0
2021-08-06,146.4,148.07,145.05,145.79,2641760.0,1628208000,0
2021-08-09,145.4,145.95,140.93,141.13,2998176.0,1628467200,0
2021-08-10,141.41,142.02,138.28,139.0,2819935.0,1628553600,0
2021-08-11,140.77,141.33,136.6,140.45,2587479.0,1628640000,0
2021-08-12,139.9,140.94,136.73,139.1,2408901.0,1628726400,0
2021-08-13,138.97,139.405,134.855,136.25,2740042.0,1628812800,0
2021-08-16,135.09,135.87,131.785,134.71,2748984.0,1629072000,0
2021-08-17,133.92,134.145,129.75,130.97,2837713.0,1629158400,0
2021-08-18,131.15,136.0829,131.09,133.73,2458075.0,1629244800,0
2021-08-19,131.455,134.53,130.82,133.55,2814736.0,1629331200,0
2021-08-20,133.4,133.5171,130.88,132.66,1708295.0,1629417600,0
2021-08-23,133.5,137.15,132.63,136.53,3114385.0,1629676800,0
2021-08-24,137.4,141.92,137.02,140.16,3617799.0,1629763200,0
2021-08-25,138.4,138.98,134.645,136.93,2570567.0,1629849600,0
2021-08-26,137.21,139.17,136.33,136.74,2182862.0,1629936000,0
2021-08-27,136.74,142.01,136.66,141.0,2557535.0,1630022400,0
2021-08-30,140.76,142.41,138.02,139.53,2103642.0,1630281600,0
2021-08-31,139.94,140.05,136.83,137.44,2273446.0,1630368000,0
2021-09-01,139.06,141.67,137.68,138.62,2615569.0,1630454400,0
2021-09-02,143.09,148.34,140.35,147.11,6495322.0,1630540800,0
2021-09-03,145.34,148.67,144.09,148.19,3108800.0,1630627200,0
2021-09-07,161.01,162.7,155.8182,159.36,18253990.0,1630972800,0
2021-09-08,158.73,162.0,157.22,158.29,5154175.0,1631059200,0
2021-09-09,157.13,160.1,156.68,157.71,3314148.0,1631145600,0
2021-09-10,158.54,171.52,153.4,164.38,11934970.0,1631232000,0
2021-09-13,165.16,166.0,158.735,162.01,4859871.0,1631491200,0
2021-09-14,161.72,162.4299,156.84,157.36,3572765.0,1631577600,0
2021-09-15,157.795,159.97,156.6,158.89,4088149.0,1631664000,0
2021-09-16,158.15,160.66,157.745,160.06,4811925.0,1631750400,0
2021-09-17,160.59,160.59,154.71,157.14,54374801.0,1631836800,0
2021-09-20,155.96,157.0,148.67,151.46,4257923.0,1632096000,0
2021-09-21,152.0,153.02,148.16,151.92,3241197.0,1632182400,0
2021-09-22,151.5,154.4,150.29,153.65,2675803.0,1632268800,0
2021-09-23,154.51,155.42,152.36,154.77,2514251.0,1632355200,0
2021-09-24,154.46,161.36,153.1179,160.91,4332313.0,1632441600,0
2021-09-27,159.55,165.61,158.9788,164.64,3830018.0,1632700800,0
2021-09-28,162.94,165.14,156.05,156.49,4371735.0,1632787200,0
2021-09-29,158.22,161.46,151.79,152.38,4269353.0,1632873600,0
2021-09-30,152.94,158.72,152.94,156.99,4377677.0,1632960000,0
2021-10-01,157.25,160.62,154.87,158.63,2606300.0,1633046400,0
2021-10-04,157.87,157.87,150.11,152.65,2997763.0,1633305600,0
2021-10-05,153.57,155.13,152.49,154.5,1892744.0,1633392000,0
2021-10-06,152.1,157.48,151.78,157.31,1856157.0,1633478400,0
2021-10-07,158.61,161.38,158.5,159.93,2661171.0,1633564800,0
2021-10-08,160.17,160.65,157.36,157.54,1759318.0,1633651200,0
2021-10-11,156.44,158.53,155.46,155.64,1179902.0,1633910400,0
2021-10-12,155.96,159.4,155.96,158.8,1214099.0,1633996800,0
2021-10-13,160.11,160.33,157.12,158.96,2311116.0,1634083200,0
2021-10-14,161.21,161.5805,156.7,157.01,3385425.0,1634169600,0
2021-10-15,157.99,160.08,156.155,160.02,1921459.0,1634256000,0
2021-10-18,159.02,159.425,155.77,158.23,2153554.0,1634515200,0
2021-10-19,159.0,162.72,158.1,160.69,1966134.0,1634601600,0
2021-10-20,161.52,161.59,158.36,159.16,1588037.0,1634688000,0
2021-10-21,158.97,182.0,158.11,175.53,8057617.0,1634774400,0
2021-10-22,172.43,174.5,168.49,169.32,3667771.0,1634860800,0
2021-10-25,168.045,169.76,166.54,167.65,2997217.0,1635120000,0
2021-10-26,167.9,168.16,162.55,163.2,2519312.0,1635206400,0
2021-10-27,162.86,164.035,158.34,158.46,2016867.0,1635292800,0
2021-10-28,159.125,159.72,154.96,156.06,2693528.0,1635379200,0
2021-10-29,155.86,155.91,149.55,150.78,3398410.0,1635465600,0
2021-11-01,150.8,154.21,150.8,154.09,2039259.0,1635724800,0
2021-11-02,152.86,153.29,146.11,148.55,3624487.0,1635811200,0
2021-11-03,148.55,156.07,145.75,152.94,3933847.0,1635897600,0
2021-11-04,152.05,159.19,150.46,156.98,2433804.0,1635984000,0
2021-11-05,158.0,164.56,158.0,160.73,2527858.0,1636070400,0
2021-11-08,160.48,160.9,155.43,155.91,2920587.0,1636329600,0
2021-11-09,156.72,156.86,151.765,155.59,2134268.0,1636416000,0
2021-11-10,154.13,157.66,153.36,154.05,2040303.0,1636502400,0
2021-11-11,154.68,155.48,149.58,149.75,2116196.0,1636588800,0
2021-11-12,150.15,151.95,146.22,146.95,3650485.0,1636675200,0
2021-11-15,147.2,149.83,146.54,148.42,1588729.0,1636934400,0
2021-11-16,147.7,148.0,144.23,146.75,1401992.0,1637020800,0
2021-11-17,146.8,148.53,145.19,147.61,1843228.0,1637107200,0
2021-11-18,147.49,147.525,141.57,142.39,2782867.0,1637193600,0
2021-11-19,141.92,142.39,139.53,140.95,3256460.0,1637280000,0
2021-11-22,141.99,143.65,134.67,137.01,4620623.0,1637539200,0
2021-11-23,137.56,138.57,133.765,135.07,3193150.0,1637625600,0
2021-11-24,133.94,137.53,132.925,137.41,2025891.0,1637712000,0
2021-11-26,134.86,134.98,130.79,133.67,2490558.0,1637884800,0
2021-11-29,135.74,135.84,132.94,134.08,2684278.0,1638144000,0
