datetime,open,high,low,close,volume,timestamp,gmtoffset
2021-06-14,1329.33,1352.5,1322.165,1351.84,122577.0,1623628800,0
2021-06-15,1352.01,1362.255,1348.95,1358.42,137950.0,1623715200,0
2021-06-16,1358.75,1367.89,1344.61,1349.92,104991.0,1623801600,0
2021-06-17,1345.4,1372.56,1344.79,1368.05,121865.0,1623888000,0
2021-06-18,1363.15,1384.64,1351.33,1352.87,464082.0,1623974400,0
2021-06-21,1359.4,1375.52,1348.47,1364.55,151484.0,1624233600,0
2021-06-22,1361.15,1385.67,1359.37,1376.99,94845.0,1624320000,0
2021-06-23,1372.83,1377.185,1354.68,1356.6,118615.0,1624406400,0
2021-06-24,1360.0,1362.88,1350.0,1355.41,114892.0,1624492800,0
2021-06-25,1359.0,1362.185,1346.28,1352.02,174958.0,1624579200,0
2021-06-28,1362.19,1387.32,1352.0,1381.67,72136.0,1624838400,0
2021-06-29,1376.22,1403.17,1375.19,1397.65,82649.0,1624924800,0
2021-06-30,1390.65,1392.52,1375.2,1385.34,150750.0,1625011200,0
2021-07-01,1384.39,1387.985,1376.12,1381.13,105273.0,1625097600,0
2021-07-02,1385.7,1403.76,1380.7,1401.15,99490.0,1625184000,0
2021-07-06,1402.0,1427.415,1402.0,1419.65,124016.0,1625529600,0
2021-07-07,1424.03,1436.81,1410.27,1435.97,103167.0,1625616000,0
2021-07-08,1420.47,1425.66,1406.9,1422.43,77593.0,1625702400,0
2021-07-09,1431.08,1437.15,1413.565,1435.41,89691.0,1625788800,0
2021-07-12,1438.86,1447.42,1428.16,1436.04,81407.0,1626048000,0
2021-07-13,1435.02,1445.68,1428.39,1442.19,55327.0,1626134400,0
2021-07-14,1443.23,1454.775,1433.24,1435.56,62556.0,1626220800,0
2021-07-15,1427.26,1445.56,1426.55,1436.03,65332.0,1626307200,0
2021-07-16,1444.76,1459.19,1437.71,1448.99,79110.0,1626393600,0
2021-07-19,1436.24,1450.23,1431.21,1438.66,98520.0,1626652800,0
2021-07-20,1445.01,1463.08,1430.31,1443.41,127404.0,1626739200,0
2021-07-21,1451.3,1451.3,1406.0,1432.79,83669.0,1626825600,0
2021-07-22,1437.49,1460.0,1437.49,1459.59,55727.0,1626912000,0
2021-07-23,1462.99,1482.21,1462.99,1477.14,51096.0,1626998400,0
2021-07-26,1469.57,1477.45,1456.55,1471.56,65741.0,1627257600,0
2021-07-27,1472.89,1487.19,1458.84,1479.88,62405.0,1627344000,0
2021-07-28,1487.34,1501.27,1483.94,1487.64,78385.0,1627430400,0
2021-07-29,1488.13,1519.99,1487.6,1511.7,110617.0,1627516800,0
2021-07-30,1496.76,1503.72,1451.08,1473.71,139960.0,1627603200,0
2021-08-02,1485.27,1490.365,1467.53,1480.15,134323.0,1627862400,0
2021-08-03,1485.33,1498.89,1479.91,1496.72,96383.0,1627948800,0
2021-08-04,1500.0,1525.07,1498.69,1515.26,96377.0,1628035200,0
2021-08-05,1519.99,1528.66,1506.97,1527.56,90530.0,1628121600,0
2021-08-06,1522.82,1535.31,1510.47,1521.69,110734.0,1628208000,0
2021-08-09,1523.24,1528.11,1513.59,1523.94,94655.0,1628467200,0
2021-08-10,1526.26,1530.0,1509.71,1515.27,95822.0,1628553600,0
2021-08-11,1515.08,1515.08,1489.85,1498.78,78004.0,1628640000,0
2021-08-12,1497.32,1519.67,1497.32,1518.15,60883.0,1628726400,0
2021-08-13,1516.38,1537.66,1516.38,1537.49,61729.0,1628812800,0
2021-08-16,1539.99,1562.545,1531.77,1558.91,65614.0,1629072000,0
2021-08-17,1556.37,1560.0,1534.73,1546.25,93690.0,1629158400,0
2021-08-18,1540.45,1543.72,1517.86,1519.93,76318.0,1629244800,0
2021-08-19,1507.12,1544.3,1504.01,1541.6,70945.0,1629331200,0
2021-08-20,1545.29,1563.38,1524.6,1530.51,91059.0,1629417600,0
2021-08-23,1539.43,1560.6,1529.88,1531.92,133454.0,1629676800,0
2021-08-24,1531.31,1539.82,1516.25,1525.56,77346.0,1629763200,0
2021-08-25,1526.53,1561.76,1519.85,1560.62,103453.0,1629849600,0
2021-08-26,1559.0,1569.62,1540.32,1556.89,61810.0,1629936000,0
2021-08-27,1556.99,1577.955,1554.23,1565.61,54472.0,1630022400,0
2021-08-30,1572.38,1593.57,1571.36,1588.73,53527.0,1630281600,0
2021-08-31,1593.98,1594.12,1543.51,1552.83,158423.0,1630368000,0
2021-09-01,1550.71,1557.54,1539.02,1552.67,81714.0,1630454400,0
2021-09-02,1563.11,1583.81,1563.11,1569.19,93213.0,1630540800,0
2021-09-03,1567.5,1575.92,1552.59,1575.31,66298.0,1630627200,0
2021-09-07,1575.31,1583.01,1558.18,1579.45,71301.0,1630972800,0
2021-09-08,1582.23,1613.785,1581.14,1604.05,69678.0,1631059200,0
2021-09-09,1615.16,1616.09,1580.07,1584.8,52586.0,1631145600,0
2021-09-10,1596.69,1626.62,1578.03,1593.99,101773.0,1631232000,0
2021-09-13,1606.14,1606.14,1534.145,1555.48,106579.0,1631491200,0
2021-09-14,1567.34,1580.2,1555.0,1559.44,73908.0,1631577600,0
2021-09-15,1560.37,1585.0,1552.8,1561.15,92044.0,1631664000,0
2021-09-16,1561.07,1566.15,1540.06,1554.59,59849.0,1631750400,0
2021-09-17,1551.38,1559.2,1541.98,1545.18,185822.0,1631836800,0
2021-09-20,1527.7,1545.59,1510.45,1527.19,95101.0,1632096000,0
2021-09-21,1542.56,1543.83,1516.64,1535.38,70642.0,1632182400,0
2021-09-22,1546.9,1558.83,1534.58,1542.78,67491.0,1632268800,0
2021-09-23,1553.01,1578.0,1543.12,1563.51,101503.0,1632355200,0
2021-09-24,1549.51,1557.68,1530.09,1556.84,71155.0,1632441600,0
2021-09-27,1550.2,1550.89,1466.055,1477.96,109104.0,1632700800,0
2021-09-28,1463.34,1463.34,1409.34,1421.65,129958.0,1632787200,0
2021-09-29,1432.56,1443.83,1401.31,1408.44,133194.0,1632873600,0
2021-09-30,1419.03,1431.59,1374.94,1377.36,164877.0,1632960000,0
2021-10-01,1369.77,1398.4,1335.74,1389.87,115086.0,1633046400,0
2021-10-04,1386.57,1400.135,1355.05,1372.52,145901.0,1633305600,0
2021-10-05,1383.15,1413.42,1379.07,1384.02,99135.0,1633392000,0
2021-10-06,1377.93,1389.56,1367.7,1384.5,84344.0,1633478400,0
2021-10-07,1407.67,1426.8,1401.59,1404.32,85110.0,1633564800,0
