datetime,open,high,low,close,volume,timestamp,gmtoffset
2024-03-26,91.05,96.05,79.1,80.0,353582.0,1711411200,0
2024-03-27,80.0,80.0,74.18,75.0,454568.0,1711497600,0
2024-03-28,78.0,78.0,69.0,69.55,2869643.0,1711584000,0
2024-04-01,69.15,72.4,65.0,69.1,14094900.0,1711929600,0
2024-04-02,67.67,68.59,64.465,66.9,9446900.0,1712016000,0
2024-04-03,65.53,67.77,63.86,63.89,5177200.0,1712102400,0
2024-04-04,63.05,68.165,62.33,67.0,5239700.0,1712188800,0
2024-04-05,65.97,70.15,65.175,70.06,4216300.0,1712275200,0
2024-04-08,70.06,71.655,66.25,67.01,4467600.0,1712534400,0
2024-04-09,65.48,68.0,65.01,65.52,2894600.0,1712620800,0
2024-04-10,64.68,64.93,63.59,63.89,2114800.0,1712707200,0
2024-04-11,63.57,64.3,62.3,63.17,2396500.0,1712793600,0
2024-04-12,62.5,63.25,61.87,62.75,1794900.0,1712880000,0
2024-04-15,62.1,63.79,61.56,61.69,2043100.0,1713139200,0
2024-04-16,62.0,62.99,61.658,61.95,1583200.0,1713225600,0
2024-04-17,61.82,62.67,61.5,61.75,1849700.0,1713312000,0
2024-04-18,61.84,64.11,61.38,64.03,2070500.0,1713398400,0
2024-04-19,63.58,64.06,61.988,62.2,1468600.0,1713484800,0
2024-04-22,62.25,62.76,61.825,62.07,1380400.0,1713744000,0
2024-04-23,62.03,64.19,61.851,63.5,1505800.0,1713830400,0
2024-04-24,62.85,64.175,62.78,63.54,1055100.0,1713916800,0
2024-04-25,62.75,63.067,60.72,61.83,2938500.0,1714003200,0
2024-04-26,61.46,64.69,61.32,64.43,1641200.0,1714089600,0
2024-04-29,63.49,66.67,63.04,65.91,2163600.0,1714348800,0
2024-04-30,65.21,65.86,63.75,65.01,2132500.0,1714435200,0
2024-05-01,64.95,66.85,64.285,65.15,1612400.0,1714521600,0
2024-05-02,65.0,66.23,64.7,65.14,1697500.0,1714608000,0
2024-05-03,65.43,65.56,63.8,64.65,1725000.0,1714694400,0
2024-05-06,64.7,65.11,64.3,64.69,1200300.0,1714953600,0
2024-05-07,64.79,65.895,64.46,65.56,2270200.0,1715040000,0
2024-05-08,65.23,66.965,65.15,66.43,1910600.0,1715126400,0
2024-05-09,65.52,67.5,63.489,64.83,3088600.0,1715212800,0
2024-05-10,63.8,64.81,63.03,63.74,1916200.0,1715299200,0
2024-05-13,64.0,64.435,63.117,63.14,1510900.0,1715558400,0
2024-05-14,63.61,65.401,63.46,65.1,1627500.0,1715644800,0
2024-05-15,64.83,65.18,62.23,62.44,2812500.0,1715731200,0
2024-05-16,62.0,62.03,60.57,61.56,2653900.0,1715817600,0
2024-05-17,61.8,62.42,61.0,62.38,1711100.0,1715904000,0
2024-05-20,62.46,62.82,61.85,62.03,1459000.0,1716163200,0
2024-05-21,61.8,62.25,61.14,61.22,1319700.0,1716249600,0
2024-05-22,61.07,62.24,60.92,61.89,1403700.0,1716336000,0
2024-05-23,61.28,61.6,59.885,59.93,1733100.0,1716422400,0
2024-05-24,59.81,60.78,59.06,60.45,1269400.0,1716508800,0
2024-05-28,60.2,60.25,59.34,59.86,1705100.0,1716854400,0
2024-05-29,59.23,60.12,59.23,59.72,1050300.0,1716940800,0
2024-05-30,59.11,59.16,56.72,58.35,3253600.0,1717027200,0
2024-05-31,58.06,59.4,57.19,59.34,5801400.0,1717113600,0
2024-06-03,59.34,59.87,56.81,57.05,1680600.0,1717372800,0
2024-06-04,56.82,57.25,55.5,55.61,2111500.0,1717459200,0
2024-06-05,55.61,56.005,54.75,55.73,1342500.0,1717545600,0
2024-06-06,55.38,55.44,54.47,55.05,1806300.0,1717632000,0
2024-06-07,54.5,56.78,54.47,56.41,1534965.0,1717718400,0
2024-06-10,56.05,57.28,56.05,56.71,1733769.0,1717977600,0
2024-06-11,56.6,56.79,56.18,56.54,1363209.0,1718064000,0
2024-06-12,56.87,57.14,56.13,56.16,1038954.0,1718150400,0
